generation,selected_individual_reward_mean,selected_individual_reward_std,selected_individual_reward_min,selected_individual_reward_max,selected_individual_reward_count,best_fitness_score_mean,best_fitness_score_std,best_fitness_score_min,best_fitness_score_max,reward_ci,fitness_ci
1,18.72,6.969361520254204,11.0,27.2,5,0.17784915938876908,0.05605068461879033,0.1182889008440623,0.2681514009051636,6.108914718671394,0.04913059126926269
2,28.360000000000003,11.699059791282375,11.6,42.4,5,0.23037156307525802,0.05675378715044458,0.1375740520558438,0.2822900751054099,10.25467804272762,0.049746887811187676
3,73.44,59.111657056793796,11.6,166.0,5,0.4301417100602373,0.3726275626167126,0.1301999560972921,1.0632023879168346,51.81365190912526,0.32662245963800324
4,118.96,70.76883494872584,57.6,219.4,5,0.6145874928508602,0.5329770418039047,0.1808918564045882,1.4671240273400512,62.03161884845502,0.46717497520074897
5,119.52000000000001,42.31845932923361,78.4,186.2,5,0.5169006886422921,0.3735267321288934,0.2710518276427749,1.1431463448702273,37.09376509118479,0.32741061646579567
6,245.04000000000002,172.16959081092108,90.4,500.0,5,0.5326842946373468,0.2948425187751475,0.2919313721900145,1.0034266932744302,150.91330021492473,0.2584408625382872
7,269.28000000000003,181.3054108403828,89.4,500.0,5,0.48449940914441586,0.22630144624280646,0.2772229298249134,0.7910449889480451,158.9211995444283,0.1983619635445284
8,364.64,173.4876595034932,88.0,500.0,5,0.4688043139816056,0.1813901869124193,0.257529782182413,0.6769031097165142,152.06863836360208,0.15899550904792437
9,390.84000000000003,168.47512576045168,97.8,500.0,5,0.44272057472760806,0.15893858852725304,0.2517870625765467,0.6029710534186665,147.67495881753277,0.13931581537236393
10,385.2,169.86659471479376,91.8,500.0,5,0.40190418107820314,0.1562901089843499,0.2283996663762589,0.5647097069484589,148.89463513236464,0.13699432069674392
11,390.8,142.99146827695697,150.8,500.0,5,0.35439120282552794,0.09938182455079524,0.2515702068833501,0.4938448205504014,125.33754816175394,0.08711201004602598
12,429.84,96.09093609701176,321.8,500.0,5,0.3768466123814639,0.10904297962624859,0.2926119823033904,0.5578417015706305,84.22741913272658,0.09558038584605925
13,430.8,72.10533960810393,350.4,500.0,5,0.34937946971025935,0.13521818789972384,0.2407807879796669,0.5793636192545164,63.20311683453594,0.11852396749574383
14,492.91999999999996,15.831361280698513,464.6,500.0,5,0.3188798005415518,0.139917652268347,0.2187939406572743,0.5647424308676139,13.8768,0.12264322963588699
15,500.0,0.0,500.0,500.0,5,0.2771260680711681,0.11098218558718531,0.197276699098625,0.47122471976857,0.0,0.09728017481566195
16,500.0,0.0,500.0,500.0,5,0.25224134513869056,0.09320760031763717,0.1788060013966088,0.4121602875583736,0.0,0.08170006388930813
17,500.0,0.0,500.0,500.0,5,0.23625667516027699,0.07305263248235183,0.1653052466654653,0.3584730753825829,0.0,0.06403345564901236
18,500.0,0.0,500.0,500.0,5,0.22278271247647066,0.05932542499461081,0.1633303620615468,0.3208458418160173,0.0,0.05200102776814983
19,500.0,0.0,500.0,500.0,5,0.2066945754083005,0.033186182812629327,0.162212115108945,0.2453989273422241,0.0,0.02908897178764754
20,500.0,0.0,500.0,500.0,5,0.20960509818667977,0.03151749172067014,0.1650260210851898,0.248815590945379,0.0,0.027626299555340458
