generation,best_fitness_score,global_max_raw_reward,global_avg_raw_reward,selected_individual_raw_reward
1,0.37415245276090114,-200.0,-200.0,-200.0
2,0.27878916039366985,-200.0,-200.0,-200.0
3,0.23336455138912468,-200.0,-200.0,-200.0
4,0.2079523871406619,-200.0,-200.0,-200.0
5,0.19355531191647057,-200.0,-200.0,-200.0
6,0.14146093109008978,-200.0,-200.0,-200.0
7,0.1279188206105256,-200.0,-200.0,-200.0
8,0.12321864545880132,-200.0,-200.0,-200.0
9,0.12104294782657712,-200.0,-200.0,-200.0
10,0.1178342567614702,-200.0,-200.0,-200.0
11,0.11648288293163381,-200.0,-200.0,-200.0
12,0.11600781828583731,-200.0,-200.0,-200.0
13,0.11387232903750162,-200.0,-200.0,-200.0
14,0.11525952812124152,-200.0,-200.0,-200.0
15,0.11102983121606098,-200.0,-200.0,-200.0
16,0.11062036638556208,-200.0,-200.0,-200.0
17,0.11326054343381568,-200.0,-200.0,-200.0
18,0.11071111960845416,-200.0,-200.0,-200.0
19,0.1103148225486809,-200.0,-200.0,-200.0
20,0.10816728351525613,-200.0,-200.0,-200.0
21,0.11143571864449377,-200.0,-200.0,-200.0
22,0.10677646238271526,-200.0,-200.0,-200.0
23,0.1098810653823182,-200.0,-200.0,-200.0
24,0.10863878696310489,-200.0,-200.0,-200.0
25,0.10839859269731916,-200.0,-200.0,-200.0
26,0.1077188114601316,-200.0,-200.0,-200.0
27,0.10782970248820987,-200.0,-200.0,-200.0
28,0.10795609477724188,-200.0,-200.0,-200.0
29,0.10854325816166938,-200.0,-200.0,-200.0
30,0.10531569423846276,-200.0,-200.0,-200.0
31,0.10711840081981304,-200.0,-200.0,-200.0
32,0.1061113874780019,-200.0,-200.0,-200.0
33,0.10769724158480555,-200.0,-200.0,-200.0
34,0.10478098456416918,-200.0,-200.0,-200.0
35,0.10361680277605316,-200.0,-200.0,-200.0
36,0.10299274354439536,-200.0,-200.0,-200.0
37,0.10264366250339216,-200.0,-200.0,-200.0
38,0.10982620260383867,-200.0,-200.0,-200.0
39,0.10693475726785884,-200.0,-200.0,-200.0
40,0.10551990040637028,-200.0,-200.0,-200.0
41,0.10474959268842371,-200.0,-200.0,-200.0
42,0.1058031613557303,-200.0,-200.0,-200.0
43,0.11329627132306713,-200.0,-200.0,-200.0
44,0.11652566180536748,-200.0,-200.0,-200.0
45,0.11714530001435608,-200.0,-200.0,-200.0
46,0.12738515806645345,-200.0,-200.0,-200.0
47,0.12539418466619517,-200.0,-200.0,-200.0
48,0.12721185826620365,-200.0,-200.0,-200.0
49,0.1263408148522181,-200.0,-200.0,-200.0
50,0.1266093081898574,-200.0,-200.0,-200.0
51,0.11833546037940565,-200.0,-200.0,-200.0
52,0.13263201944574607,-200.0,-200.0,-200.0
53,0.1309345077270178,-200.0,-200.0,-200.0
54,0.13163769756747332,-200.0,-200.0,-200.0
55,0.13287651553132818,-200.0,-200.0,-200.0
56,0.16387928647812447,-200.0,-200.0,-200.0
57,0.16048159351011282,-200.0,-200.0,-200.0
58,0.16124840290419018,-200.0,-200.0,-200.0
59,0.16095100227901415,-200.0,-200.0,-200.0
60,0.1611310292099964,-200.0,-200.0,-200.0
61,0.16312529207685497,-200.0,-200.0,-200.0
62,0.1651301430890455,-200.0,-200.0,-200.0
63,0.1764753906458613,-200.0,-200.0,-200.0
64,0.1659232598583681,-200.0,-200.0,-200.0
65,0.16761014530605883,-200.0,-200.0,-200.0
66,0.4688354405472361,-200.0,-200.0,-200.0
67,0.49351234932353016,-200.0,-200.0,-200.0
68,0.4960101809875761,-200.0,-200.0,-200.0
69,0.49731083293184164,-200.0,-200.0,-200.0
70,0.5105144446403808,-200.0,-200.0,-200.0
71,0.5094056137127391,-200.0,-200.0,-200.0
72,0.5177179841454891,-200.0,-200.0,-200.0
73,0.5120237795663021,-200.0,-200.0,-200.0
74,0.5018375922641228,-200.0,-200.0,-200.0
75,0.4785125497590911,-200.0,-200.0,-200.0
76,0.47938052942327564,-200.0,-200.0,-200.0
77,0.45791207838596637,-200.0,-200.0,-200.0
78,0.4463378426442778,-200.0,-200.0,-200.0
79,0.44382275407234956,-200.0,-200.0,-200.0
80,0.4391850404262653,-200.0,-200.0,-200.0
81,0.43057313629731075,-200.0,-200.0,-200.0
82,0.42446369851379806,-200.0,-200.0,-200.0
83,0.4223732498848382,-200.0,-200.0,-200.0
84,0.41015050670103326,-200.0,-200.0,-200.0
85,0.3993835164272597,-200.0,-200.0,-200.0
86,0.39023315226340244,-200.0,-200.0,-200.0
87,0.387303006280286,-200.0,-200.0,-200.0
88,0.3872342246980299,-200.0,-200.0,-200.0
89,0.4422627046310844,-189.2,-199.78400000000002,-189.2
90,0.478696665582335,-184.6,-199.4,-185.4
91,1.1860968068125317,-151.8,-198.40800000000002,-151.8
92,1.1787174772916247,-152.2,-198.424,-152.2
93,1.1794947288675963,-151.8,-198.42,-151.8
94,1.1532432269032662,-152.0,-198.38400000000001,-152.0
95,1.1028681489833596,-144.2,-197.28799999999998,-151.6
96,1.045340889092658,-144.6,-197.28400000000002,-151.6
97,1.0145469035489827,-143.6,-197.236,-143.6
98,1.0102602585476819,-143.8,-197.264,-143.8
99,1.0053529977869349,-144.2,-197.26800000000003,-144.2
100,0.9879094008085196,-143.8,-197.264,-143.8
