generation,individual_id,seed_value,reward,shared_fitness
1,0,2099,-872.914237290915,0.1111690013494257
1,0,2049,-972.14467316637,0.1111690013494257
1,0,2094,-1703.5861012762211,0.1111690013494257
1,0,2070,-1191.7619893792169,0.1111690013494257
1,0,2084,-1477.9644143948533,0.1111690013494257
1,1,2099,-805.8728039882815,0.12986882388723386
1,1,2049,-854.1595054127723,0.12986882388723386
1,1,2094,-1678.4226102442012,0.12986882388723386
1,1,2070,-1169.922297994394,0.12986882388723386
1,1,2084,-1472.2924523176862,0.12986882388723386
1,2,2099,-882.4818723417388,0.13356150924442037
1,2,2049,-855.5680087072126,0.13356150924442037
1,2,2094,-1668.8966872272147,0.13356150924442037
1,2,2070,-1165.704956600289,0.13356150924442037
1,2,2084,-1461.2072944508825,0.13356150924442037
1,3,2099,-1040.0116244184387,0.08419354009685581
1,3,2049,-1070.30554207351,0.08419354009685581
1,3,2094,-1740.9746539880769,0.08419354009685581
1,3,2070,-1253.1708433888978,0.08419354009685581
1,3,2084,-1464.3394476884778,0.08419354009685581
1,4,2099,-963.386591404785,0.0853965351925759
1,4,2049,-1078.0587309964608,0.0853965351925759
1,4,2094,-1736.1577084635892,0.0853965351925759
1,4,2070,-1267.9254125296823,0.0853965351925759
1,4,2084,-1499.795001607661,0.0853965351925759
1,5,2099,-745.4252577401408,0.10622517097392933
1,5,2049,-1053.2555654674604,0.10622517097392933
1,5,2094,-1714.830028990321,0.10622517097392933
1,5,2070,-1206.9859528464594,0.10622517097392933
1,5,2084,-1474.6228966422864,0.10622517097392933
1,6,2099,-1068.2393449409974,0.08015428942776004
1,6,2049,-1073.5437337719059,0.08015428942776004
1,6,2094,-1748.031691973462,0.08015428942776004
1,6,2070,-1259.214226981248,0.08015428942776004
1,6,2084,-1456.6307836700187,0.08015428942776004
1,7,2099,-747.1239939400642,0.11747365517531064
1,7,2049,-981.6004063993752,0.11747365517531064
1,7,2094,-1700.1244108216385,0.11747365517531064
1,7,2070,-1184.2096011501587,0.11747365517531064
1,7,2084,-1457.7924131358488,0.11747365517531064
1,8,2099,-858.5391183131211,0.13040074185840214
1,8,2049,-856.021203691905,0.13040074185840214
1,8,2094,-1672.4567011487486,0.13040074185840214
