Windows PowerShell
版权所有（C） Microsoft Corporation。保留所有权利。

安装最新的 PowerShell，了解新功能和改进！https://aka.ms/PSWindows

PS C:\Git\ga_combine\source_code\multi_ppo_acrobot_noisy> python ppo_3m_noisy_acrobot_train.py
=== Starting E2E PPO (3M Params) Tests on ACROBOT IN NOISY ENVIRONMENT ===
Target Score: -85.0 | Max Steps Allowed: 1000000


--- Running NOISY Acrobot Seed 103 (1/3) with 16 workers ---
[*] PPO 3M Model Instantiated for Acrobot!
[*] Total Parameters: 3,029,924 (Trainable: 3,029,924)
    [Progress] Steps: 690000 | Elapsed: 2743.9s | Recent Avg Reward: -102.2
    [Progress] Steps: 700000 | Elapsed: 2782.6s | Recent Avg Reward: -127.8
    [Progress] Steps: 710000 | Elapsed: 2822.0s | Recent Avg Reward: -110.8
    [Progress] Steps: 720000 | Elapsed: 2861.3s | Recent Avg Reward: -104.2
    [Progress] Steps: 730000 | Elapsed: 2904.5s | Recent Avg Reward: -110.0
    [Progress] Steps: 740000 | Elapsed: 2943.7s | Recent Avg Reward: -113.5
    [Progress] Steps: 750000 | Elapsed: 2982.8s | Recent Avg Reward: -145.3
    [Progress] Steps: 760000 | Elapsed: 3021.5s | Recent Avg Reward: -131.7
    [Progress] Steps: 770000 | Elapsed: 3060.6s | Recent Avg Reward: -136.4
    [Progress] Steps: 780000 | Elapsed: 3104.0s | Recent Avg Reward: -123.1
    [Progress] Steps: 790000 | Elapsed: 3142.7s | Recent Avg Reward: -155.6
    [Progress] Steps: 800000 | Elapsed: 3181.8s | Recent Avg Reward: -158.9
    [Progress] Steps: 810000 | Elapsed: 3220.7s | Recent Avg Reward: -128.7
    [Progress] Steps: 820000 | Elapsed: 3264.0s | Recent Avg Reward: -124.2
    [Progress] Steps: 830000 | Elapsed: 3302.9s | Recent Avg Reward: -135.2
    [Progress] Steps: 840000 | Elapsed: 3341.9s | Recent Avg Reward: -109.6
    [Progress] Steps: 850000 | Elapsed: 3380.8s | Recent Avg Reward: -111.0
