generation,best_fitness_score,global_max_raw_reward,global_avg_raw_reward,selected_individual_raw_reward
1,0.15840008810149225,-200.0,-200.0,-200.0
2,0.13943116730839084,-200.0,-200.0,-200.0
3,0.1289867264807629,-200.0,-200.0,-200.0
4,0.1252156848975269,-200.0,-200.0,-200.0
5,0.1254428393069694,-200.0,-200.0,-200.0
6,0.11706896133229343,-200.0,-200.0,-200.0
7,0.11567062119167279,-200.0,-200.0,-200.0
8,0.11678952103125298,-200.0,-200.0,-200.0
9,0.11637174183397674,-200.0,-200.0,-200.0
10,0.11640141017170974,-200.0,-200.0,-200.0
11,0.11506945039598854,-200.0,-200.0,-200.0
12,0.11367858579124589,-200.0,-200.0,-200.0
13,0.11438894237197267,-200.0,-200.0,-200.0
14,0.11216978461387006,-200.0,-200.0,-200.0
15,0.11168648669933119,-200.0,-200.0,-200.0
16,0.1146366468920185,-200.0,-200.0,-200.0
17,0.1073913757341016,-200.0,-200.0,-200.0
18,0.10680819706737903,-200.0,-200.0,-200.0
19,0.10556172499353676,-200.0,-200.0,-200.0
20,0.10479084282760436,-200.0,-200.0,-200.0
21,0.10221455051165658,-200.0,-200.0,-200.0
22,0.10932815885831167,-200.0,-200.0,-200.0
23,0.10643884399259901,-200.0,-200.0,-200.0
24,0.10933676127016435,-200.0,-200.0,-200.0
25,0.10639512767190623,-200.0,-200.0,-200.0
26,0.10460382182880457,-200.0,-200.0,-200.0
27,0.1074048882376773,-200.0,-200.0,-200.0
28,0.10560646347335947,-200.0,-200.0,-200.0
29,0.10437875648905502,-200.0,-200.0,-200.0
30,0.10372301657391818,-200.0,-200.0,-200.0
31,0.1033287282708808,-200.0,-200.0,-200.0
32,0.10220328449703206,-200.0,-200.0,-200.0
33,0.1058640319852007,-200.0,-200.0,-200.0
34,0.10195536615118926,-200.0,-200.0,-200.0
35,0.13447527001528037,-200.0,-200.0,-200.0
36,0.12972324501429308,-200.0,-200.0,-200.0
37,0.1280326760502612,-200.0,-200.0,-200.0
38,0.12625076632582966,-200.0,-200.0,-200.0
39,0.12491268193774685,-200.0,-200.0,-200.0
40,0.13829434227535298,-200.0,-200.0,-200.0
41,0.12767679130042245,-200.0,-200.0,-200.0
42,0.22179962633106037,-200.0,-200.0,-200.0
43,0.19172166073092414,-200.0,-200.0,-200.0
44,0.1613404991287485,-200.0,-200.0,-200.0
45,0.16698551759301827,-200.0,-200.0,-200.0
46,0.18470206517851767,-200.0,-200.0,-200.0
47,0.18042260385414643,-200.0,-200.0,-200.0
48,0.18147086173103247,-200.0,-200.0,-200.0
49,0.3106983777703304,-200.0,-200.0,-200.0
50,0.21971857556587182,-200.0,-200.0,-200.0
51,0.1968617276763967,-200.0,-200.0,-200.0
52,0.2857808429561658,-200.0,-200.0,-200.0
53,0.29456701019509846,-200.0,-200.0,-200.0
54,0.2803824968056819,-200.0,-200.0,-200.0
55,0.2906325871618748,-200.0,-200.0,-200.0
56,0.2925759196259312,-200.0,-200.0,-200.0
57,0.2844597818373787,-200.0,-200.0,-200.0
58,0.3863915772734848,-195.8,-199.916,-200.0
59,0.36980192592661365,-195.8,-199.916,-195.8
60,0.34527122729625154,-195.8,-199.916,-195.8
61,0.33013295821106353,-195.8,-199.916,-195.8
62,0.3286695511027755,-195.8,-199.916,-195.8
63,0.37199524253855754,-191.6,-199.832,-200.0
64,0.3841604611137663,-191.6,-199.832,-200.0
65,0.38395678050527665,-191.6,-199.832,-200.0
66,0.3886799730247673,-191.6,-199.832,-200.0
67,0.37416232001952665,-191.6,-199.832,-200.0
68,0.3953442635944736,-191.6,-199.832,-200.0
69,0.5721275713624827,-180.0,-199.34799999999998,-180.0
70,0.6349381554112601,-180.0,-199.34799999999998,-180.0
71,0.6653810452167032,-180.0,-199.34799999999998,-180.0
72,0.6948811648057398,-174.8,-199.24400000000003,-174.8
73,0.6797425585269178,-180.0,-199.0,-180.0
74,0.6743382755670735,-180.0,-199.04,-180.0
75,0.6317400339450427,-180.0,-199.04,-180.0
76,1.3790351918693498,-123.8,-196.91199999999998,-123.8
77,1.3873517395351347,-124.2,-197.02399999999997,-124.2
78,1.3045675110226018,-124.2,-195.54,-124.2
79,1.2515077760747184,-121.6,-195.14,-123.0
80,1.2160229524002493,-122.6,-195.21599999999998,-122.8
81,1.1644381515014652,-124.2,-195.53599999999997,-124.2
82,1.0876761057701974,-124.6,-195.09199999999998,-124.6
83,1.0669373115211807,-125.8,-195.33599999999998,-125.8
84,1.0404476983698752,-124.6,-194.644,-124.6
85,1.0031450150334051,-125.0,-194.012,-125.0
86,0.9576457580863096,-125.6,-194.03599999999997,-125.6
87,0.9301814889276321,-126.0,-194.136,-126.0
88,0.89873337319423,-123.8,-193.484,-123.8
89,0.8928884956954135,-120.8,-193.37199999999996,-121.4
90,0.9017365347909776,-122.2,-193.68800000000002,-123.4
91,0.8987820766435656,-123.0,-193.4,-123.4
92,0.8688996445290063,-113.6,-191.148,-122.4
93,0.825265368373952,-110.2,-190.78400000000002,-123.8
94,0.764968983626192,-114.0,-188.196,-117.4
95,0.7377788209072496,-113.2,-188.94400000000002,-113.2
96,0.7190842729458274,-110.2,-187.452,-110.2
97,0.6938780352652409,-113.8,-188.18400000000003,-113.8
98,0.6582387797309126,-114.6,-187.43200000000002,-114.6
99,0.6631562050328282,-114.0,-187.71199999999996,-114.0
100,0.6453250116623901,-110.6,-185.796,-110.6
