(base) PS D:\OneDrive\OneDrive - Dalhousie University\2026_Winter\ga_combine\source_code\multi_ppo_cartpole_noise> python ppo_noisy_train.py
=== Starting E2E PPO Vision Baseline (Strict Time-Equivalent) Tests IN NOISY ENVIRONMENT ===
Target Score: 495.0 | Max Steps Allowed: 1000000


--- Running NOISY Seed 101 (1/5) with 16 parallel workers ---
    [Progress] Steps: 630000 | Elapsed: 2007.8s | Recent 20-Ep Avg Reward: 134.3
    [Progress] Steps: 640000 | Elapsed: 2042.2s | Recent 20-Ep Avg Reward: 134.2
    [Progress] Steps: 650000 | Elapsed: 2072.8s | Recent 20-Ep Avg Reward: 135.3
    [Progress] Steps: 660000 | Elapsed: 2103.4s | Recent 20-Ep Avg Reward: 141.6
    [Progress] Steps: 670000 | Elapsed: 2134.2s | Recent 20-Ep Avg Reward: 141.4
    [Progress] Steps: 680000 | Elapsed: 2168.8s | Recent 20-Ep Avg Reward: 138.8
    [Progress] Steps: 690000 | Elapsed: 2199.3s | Recent 20-Ep Avg Reward: 163.4
    [Progress] Steps: 700000 | Elapsed: 2229.4s | Recent 20-Ep Avg Reward: 139.8
    [Progress] Steps: 710000 | Elapsed: 2260.2s | Recent 20-Ep Avg Reward: 149.3
    [Progress] Steps: 720000 | Elapsed: 2290.7s | Recent 20-Ep Avg Reward: 158.5
    [Progress] Steps: 730000 | Elapsed: 2325.0s | Recent 20-Ep Avg Reward: 126.3
    [Progress] Steps: 740000 | Elapsed: 2355.3s | Recent 20-Ep Avg Reward: 106.5
    [Progress] Steps: 750000 | Elapsed: 2386.7s | Recent 20-Ep Avg Reward: 100.2
    [Progress] Steps: 760000 | Elapsed: 2417.5s | Recent 20-Ep Avg Reward: 108.5
    [Progress] Steps: 770000 | Elapsed: 2448.4s | Recent 20-Ep Avg Reward: 134.4
    [Progress] Steps: 780000 | Elapsed: 2482.6s | Recent 20-Ep Avg Reward: 91.3
    [Progress] Steps: 790000 | Elapsed: 2513.5s | Recent 20-Ep Avg Reward: 103.3
    [Progress] Steps: 800000 | Elapsed: 2544.6s | Recent 20-Ep Avg Reward: 101.7
    [Progress] Steps: 810000 | Elapsed: 2575.6s | Recent 20-Ep Avg Reward: 121.7
    [Progress] Steps: 820000 | Elapsed: 2610.6s | Recent 20-Ep Avg Reward: 101.9
    [Progress] Steps: 830000 | Elapsed: 2641.2s | Recent 20-Ep Avg Reward: 94.1
    [Progress] Steps: 840000 | Elapsed: 2672.1s | Recent 20-Ep Avg Reward: 81.9
    [Progress] Steps: 850000 | Elapsed: 2702.8s | Recent 20-Ep Avg Reward: 108.0
    [Progress] Steps: 860000 | Elapsed: 2733.9s | Recent 20-Ep Avg Reward: 93.5
    [Progress] Steps: 870000 | Elapsed: 2768.1s | Recent 20-Ep Avg Reward: 111.3
    [Progress] Steps: 880000 | Elapsed: 2798.9s | Recent 20-Ep Avg Reward: 131.1
    [Progress] Steps: 890000 | Elapsed: 2829.4s | Recent 20-Ep Avg Reward: 122.5
    [Progress] Steps: 900000 | Elapsed: 2860.5s | Recent 20-Ep Avg Reward: 80.5
    [Progress] Steps: 910000 | Elapsed: 2895.4s | Recent 20-Ep Avg Reward: 99.8
    [Progress] Steps: 920000 | Elapsed: 2926.6s | Recent 20-Ep Avg Reward: 110.8
    [Progress] Steps: 930000 | Elapsed: 2957.5s | Recent 20-Ep Avg Reward: 92.5
    [Progress] Steps: 940000 | Elapsed: 2988.7s | Recent 20-Ep Avg Reward: 91.2
    [Progress] Steps: 950000 | Elapsed: 3020.0s | Recent 20-Ep Avg Reward: 102.0
    [Progress] Steps: 960000 | Elapsed: 3054.1s | Recent 20-Ep Avg Reward: 116.0
    [Progress] Steps: 970000 | Elapsed: 3085.2s | Recent 20-Ep Avg Reward: 103.9
    [Progress] Steps: 980000 | Elapsed: 3116.0s | Recent 20-Ep Avg Reward: 109.3
    [Progress] Steps: 990000 | Elapsed: 3146.9s | Recent 20-Ep Avg Reward: 124.8
    [Progress] Steps: 1000000 | Elapsed: 3181.4s | Recent 20-Ep Avg Reward: 88.8
[*] Final Result for Noisy Seed 101: Stopped at 1007616 steps in 3206.64 seconds
[*] Data strictly saved to: ppo_noisy_results_seed_101\ppo_learning_curve.csv
[*] Model successfully saved to: ppo_noisy_results_seed_101\final_ppo_model.zip

--- Running NOISY Seed 102 (2/5) with 16 parallel workers ---
    [Progress] Steps: 10000 | Elapsed: 34.7s | Recent 20-Ep Avg Reward: 22.4
    [Progress] Steps: 20000 | Elapsed: 69.8s | Recent 20-Ep Avg Reward: 22.2
    [Progress] Steps: 30000 | Elapsed: 104.2s | Recent 20-Ep Avg Reward: 22.1
    [Progress] Steps: 40000 | Elapsed: 138.3s | Recent 20-Ep Avg Reward: 32.8
    [Progress] Steps: 50000 | Elapsed: 174.9s | Recent 20-Ep Avg Reward: 40.5
    [Progress] Steps: 60000 | Elapsed: 206.9s | Recent 20-Ep Avg Reward: 53.1
    [Progress] Steps: 70000 | Elapsed: 239.0s | Recent 20-Ep Avg Reward: 69.3
    [Progress] Steps: 80000 | Elapsed: 270.7s | Recent 20-Ep Avg Reward: 65.5
    [Progress] Steps: 90000 | Elapsed: 302.3s | Recent 20-Ep Avg Reward: 90.8
    [Progress] Steps: 100000 | Elapsed: 336.7s | Recent 20-Ep Avg Reward: 119.7
    [Progress] Steps: 110000 | Elapsed: 367.5s | Recent 20-Ep Avg Reward: 120.3
    [Progress] Steps: 120000 | Elapsed: 398.3s | Recent 20-Ep Avg Reward: 130.2
    [Progress] Steps: 130000 | Elapsed: 429.1s | Recent 20-Ep Avg Reward: 154.6
    [Progress] Steps: 140000 | Elapsed: 463.2s | Recent 20-Ep Avg Reward: 154.7
    [Progress] Steps: 150000 | Elapsed: 493.8s | Recent 20-Ep Avg Reward: 142.8
    [Progress] Steps: 160000 | Elapsed: 524.4s | Recent 20-Ep Avg Reward: 159.2
    [Progress] Steps: 170000 | Elapsed: 554.8s | Recent 20-Ep Avg Reward: 173.3
    [Progress] Steps: 180000 | Elapsed: 585.1s | Recent 20-Ep Avg Reward: 204.7
    [Progress] Steps: 190000 | Elapsed: 619.6s | Recent 20-Ep Avg Reward: 170.7
    [Progress] Steps: 200000 | Elapsed: 649.8s | Recent 20-Ep Avg Reward: 230.0
    [Progress] Steps: 210000 | Elapsed: 680.4s | Recent 20-Ep Avg Reward: 207.6
    [Progress] Steps: 220000 | Elapsed: 710.6s | Recent 20-Ep Avg Reward: 213.2
    [Progress] Steps: 230000 | Elapsed: 744.9s | Recent 20-Ep Avg Reward: 265.1
    [Progress] Steps: 240000 | Elapsed: 775.0s | Recent 20-Ep Avg Reward: 238.9
    [Progress] Steps: 250000 | Elapsed: 805.1s | Recent 20-Ep Avg Reward: 239.8
    [Progress] Steps: 260000 | Elapsed: 835.3s | Recent 20-Ep Avg Reward: 281.5
    [Progress] Steps: 270000 | Elapsed: 865.6s | Recent 20-Ep Avg Reward: 306.9
    [Progress] Steps: 280000 | Elapsed: 899.6s | Recent 20-Ep Avg Reward: 212.1
    [Progress] Steps: 290000 | Elapsed: 929.2s | Recent 20-Ep Avg Reward: 355.6
    [Progress] Steps: 300000 | Elapsed: 959.5s | Recent 20-Ep Avg Reward: 383.0
    [Progress] Steps: 310000 | Elapsed: 989.8s | Recent 20-Ep Avg Reward: 344.2
    [Progress] Steps: 320000 | Elapsed: 1023.7s | Recent 20-Ep Avg Reward: 341.5
    [Progress] Steps: 330000 | Elapsed: 1053.5s | Recent 20-Ep Avg Reward: 311.4
    [Progress] Steps: 340000 | Elapsed: 1083.6s | Recent 20-Ep Avg Reward: 389.4
    [Progress] Steps: 350000 | Elapsed: 1113.9s | Recent 20-Ep Avg Reward: 375.8
    [Progress] Steps: 360000 | Elapsed: 1144.1s | Recent 20-Ep Avg Reward: 314.8
    [Progress] Steps: 370000 | Elapsed: 1177.7s | Recent 20-Ep Avg Reward: 229.9
    [Progress] Steps: 380000 | Elapsed: 1207.9s | Recent 20-Ep Avg Reward: 252.5
    [Progress] Steps: 390000 | Elapsed: 1238.1s | Recent 20-Ep Avg Reward: 280.6
    [Progress] Steps: 400000 | Elapsed: 1268.2s | Recent 20-Ep Avg Reward: 294.8
    [Progress] Steps: 410000 | Elapsed: 1301.8s | Recent 20-Ep Avg Reward: 323.0
    [Progress] Steps: 420000 | Elapsed: 1331.8s | Recent 20-Ep Avg Reward: 268.2
    [Progress] Steps: 430000 | Elapsed: 1362.1s | Recent 20-Ep Avg Reward: 286.3
    [Progress] Steps: 440000 | Elapsed: 1392.5s | Recent 20-Ep Avg Reward: 298.9
    [Progress] Steps: 450000 | Elapsed: 1422.5s | Recent 20-Ep Avg Reward: 203.5
    [Progress] Steps: 460000 | Elapsed: 1456.7s | Recent 20-Ep Avg Reward: 277.4
    [Progress] Steps: 470000 | Elapsed: 1486.8s | Recent 20-Ep Avg Reward: 214.4
    [Progress] Steps: 480000 | Elapsed: 1517.1s | Recent 20-Ep Avg Reward: 230.8
    [Progress] Steps: 490000 | Elapsed: 1547.4s | Recent 20-Ep Avg Reward: 150.1
    [Progress] Steps: 500000 | Elapsed: 1581.7s | Recent 20-Ep Avg Reward: 166.3
    [Progress] Steps: 510000 | Elapsed: 1612.0s | Recent 20-Ep Avg Reward: 177.8
    [Progress] Steps: 520000 | Elapsed: 1642.4s | Recent 20-Ep Avg Reward: 221.9
    [Progress] Steps: 530000 | Elapsed: 1672.7s | Recent 20-Ep Avg Reward: 157.6
    [Progress] Steps: 540000 | Elapsed: 1703.5s | Recent 20-Ep Avg Reward: 186.4
    [Progress] Steps: 550000 | Elapsed: 1737.6s | Recent 20-Ep Avg Reward: 176.1
    [Progress] Steps: 560000 | Elapsed: 1767.7s | Recent 20-Ep Avg Reward: 165.4
    [Progress] Steps: 570000 | Elapsed: 1798.5s | Recent 20-Ep Avg Reward: 132.0
    [Progress] Steps: 580000 | Elapsed: 1829.6s | Recent 20-Ep Avg Reward: 130.7
    [Progress] Steps: 590000 | Elapsed: 1863.8s | Recent 20-Ep Avg Reward: 174.4
    [Progress] Steps: 600000 | Elapsed: 1893.8s | Recent 20-Ep Avg Reward: 134.1
    [Progress] Steps: 610000 | Elapsed: 1924.4s | Recent 20-Ep Avg Reward: 147.6
    [Progress] Steps: 620000 | Elapsed: 1955.1s | Recent 20-Ep Avg Reward: 124.6
    [Progress] Steps: 630000 | Elapsed: 1985.9s | Recent 20-Ep Avg Reward: 142.7
    [Progress] Steps: 640000 | Elapsed: 2020.5s | Recent 20-Ep Avg Reward: 70.8
    [Progress] Steps: 650000 | Elapsed: 2051.8s | Recent 20-Ep Avg Reward: 93.9
    [Progress] Steps: 660000 | Elapsed: 2082.8s | Recent 20-Ep Avg Reward: 95.2
    [Progress] Steps: 670000 | Elapsed: 2114.7s | Recent 20-Ep Avg Reward: 56.6
    [Progress] Steps: 680000 | Elapsed: 2149.6s | Recent 20-Ep Avg Reward: 79.0
    [Progress] Steps: 690000 | Elapsed: 2180.3s | Recent 20-Ep Avg Reward: 105.5
    [Progress] Steps: 700000 | Elapsed: 2211.2s | Recent 20-Ep Avg Reward: 108.8
    [Progress] Steps: 710000 | Elapsed: 2242.3s | Recent 20-Ep Avg Reward: 106.8
    [Progress] Steps: 720000 | Elapsed: 2273.2s | Recent 20-Ep Avg Reward: 100.2
    [Progress] Steps: 730000 | Elapsed: 2308.0s | Recent 20-Ep Avg Reward: 101.0
    [Progress] Steps: 740000 | Elapsed: 2338.9s | Recent 20-Ep Avg Reward: 100.2
    [Progress] Steps: 750000 | Elapsed: 2369.7s | Recent 20-Ep Avg Reward: 98.8
    [Progress] Steps: 760000 | Elapsed: 2400.8s | Recent 20-Ep Avg Reward: 103.0
    [Progress] Steps: 770000 | Elapsed: 2432.1s | Recent 20-Ep Avg Reward: 118.9
    [Progress] Steps: 780000 | Elapsed: 2466.6s | Recent 20-Ep Avg Reward: 98.3
    [Progress] Steps: 790000 | Elapsed: 2497.4s | Recent 20-Ep Avg Reward: 98.1
    [Progress] Steps: 800000 | Elapsed: 2528.8s | Recent 20-Ep Avg Reward: 103.0
    [Progress] Steps: 810000 | Elapsed: 2559.7s | Recent 20-Ep Avg Reward: 113.2
    [Progress] Steps: 820000 | Elapsed: 2594.5s | Recent 20-Ep Avg Reward: 107.2
    [Progress] Steps: 830000 | Elapsed: 2625.4s | Recent 20-Ep Avg Reward: 91.7
    [Progress] Steps: 840000 | Elapsed: 2656.8s | Recent 20-Ep Avg Reward: 66.2
    [Progress] Steps: 850000 | Elapsed: 2688.3s | Recent 20-Ep Avg Reward: 97.0
    [Progress] Steps: 860000 | Elapsed: 2719.6s | Recent 20-Ep Avg Reward: 79.5
