gen,best_fitness,max_raw_reward,avg_raw_reward
1,0.08850522857898255,-1009.5594570511519,-1429.8234323943345
2,0.09163511610515718,-1024.7346082154504,-1424.0465664834098
3,0.11143315856510859,-929.1928157462189,-1403.1214419741843
4,0.1144015678579759,-949.2444712741532,-1415.1335978504753
5,0.08876532780065882,-1023.5556723016185,-1428.3396938059263
6,0.11760841214884826,-918.4760372768782,-1437.820320344997
7,0.09143968068717663,-967.6019794318912,-1401.3529199121392
8,0.10045569038911528,-961.2026008337305,-1407.0979122193503
9,0.09075972770309665,-963.944964811137,-1397.4877536122926
10,0.11702059549933784,-931.0024332538151,-1354.1333673227198
11,0.08976230424702396,-890.6796277917392,-1344.9086599191949
12,0.08994144739168441,-908.1072857530131,-1370.8522720934461
13,0.09340857058282556,-889.4133355713051,-1366.1579982037247
14,0.09163652766506711,-919.1857128000844,-1387.893857116785
15,0.10016587007197962,-798.5684050368424,-1337.4636336596593
16,0.10051533822889658,-818.2632153377838,-1344.0059391071657
17,0.11656361429390631,-775.3029683713729,-1366.6470768127465
18,0.10781491093596748,-751.7530189253347,-1293.3365808769104
19,0.10152001687420185,-719.018602839296,-1255.5756405654217
20,0.1113585006786243,-718.9656652938954,-1355.291937451736
21,0.13175628420450464,-496.6251644934813,-1343.3914396077712
22,0.1168117417218383,-538.9342377166382,-1261.7003336808818
23,0.1092121440690031,-582.4846104768645,-1265.839487607157
24,0.14206534771289514,-526.697431387238,-1236.5212271152618
25,0.10396249792003454,-564.7131421784005,-1250.8704582886264
26,0.1270341331599316,-473.5420115416011,-1189.7881532138215
27,0.12299356684712215,-501.8138241702598,-1265.3987705830261
28,0.1224563973953113,-537.6988820766985,-1173.5472048837846
29,0.11868879109406433,-596.2485418413238,-1184.5803794375904
30,0.10723036956771523,-515.4260505180433,-1089.2969097845382
31,0.13011626000371168,-498.93059004251546,-1183.10156608647
32,0.1272457488351166,-516.7448847257031,-1183.7245337909362
33,0.11517646923009163,-393.0008755849819,-1075.6260089173097
34,0.11634046551381329,-414.1806727197792,-1093.5488922744466
35,0.10900825646852383,-241.2787486476619,-955.1192106236092
36,0.10951848386499351,-513.4493833852373,-1103.793666986463
37,0.09935120644646725,-314.07728159944384,-972.0352243715325
38,0.09333517486307533,-462.89472543962603,-980.8450961894584
39,0.10059955726198663,-133.1700244339031,-836.4392469048745
40,0.096201628066096,-295.8179802281775,-885.842254973119
41,0.10332268529898861,-53.2794009463198,-812.0917252354791
42,0.0907518482152104,-53.97661140391331,-693.6439274367826
43,0.1038031846748412,-60.11666244434166,-784.357526975788
44,0.11058697466349418,-100.73401231448705,-780.7836582674244
45,0.07246653891667097,-26.82128786743251,-461.4095897699096
46,0.07997520683718651,-85.90082159866904,-559.5793121270118
47,0.08248191884436132,-142.43485622610834,-638.4080494123324
48,0.10267657908891656,-103.58793196884012,-709.5510685263424
49,0.10366735676991227,-102.78406084176018,-835.7922140644863
50,0.08561509811062551,-105.4299849561177,-681.5503925256252
51,0.0763478454072947,-78.37862415814467,-572.2852420129949
52,0.07547183044439193,-105.62152358153614,-554.1645831638565
53,0.07403920669218905,-129.35510412111793,-515.750401136669
54,0.07436267750135708,-122.40478026133135,-509.42926150557486
55,0.07699482927120227,-102.91091498036758,-563.1378890867924
56,0.08015407048322991,-109.88275507178537,-577.7242967826562
57,0.08255506689089752,-164.01324377452164,-666.1027012488247
58,0.0783820868493421,-103.45566764394837,-594.1718358925258
59,0.07445862514211468,-184.53109053187254,-626.0086356490926
60,0.07954015577565679,-210.83912616759648,-708.778102578826
61,0.0706716663159166,-132.56098443500696,-529.0740832823982
62,0.07930855651461229,-163.84396943368174,-648.7075051322329
