generation,best_fitness_score,global_max_raw_reward,global_avg_raw_reward,selected_individual_raw_reward
1,0.19763053969347957,-200.0,-200.0,-200.0
2,0.20684012823261022,-200.0,-200.0,-200.0
3,0.1978067323107554,-200.0,-200.0,-200.0
4,0.18859306107095164,-200.0,-200.0,-200.0
5,0.17946255458624347,-197.8,-199.956,-200.0
6,0.3447756380098596,-191.6,-199.78799999999998,-191.6
7,0.36045180291546713,-191.6,-199.78799999999998,-191.6
8,0.35130517706510217,-191.6,-199.78799999999998,-191.6
9,0.35464450709365863,-191.6,-199.78799999999998,-191.6
10,0.35421286931494544,-191.6,-199.78799999999998,-191.6
11,0.5451854273063016,-191.6,-199.78800000000004,-200.0
12,0.5002608450186496,-191.6,-199.764,-200.0
13,0.4810562368713129,-191.6,-199.764,-200.0
14,0.4670975008964645,-186.6,-199.64,-200.0
15,0.459182565193319,-186.6,-199.64,-200.0
16,0.4266994069804267,-186.6,-199.64,-186.6
17,0.490277222362624,-182.0,-199.524,-182.0
18,0.5355952179542014,-182.0,-199.548,-182.0
19,0.5443619891617624,-182.0,-199.548,-182.0
20,0.5602740877252607,-182.0,-199.548,-182.0
21,0.57513863011427,-182.0,-199.548,-182.0
22,0.5760701902829037,-182.0,-199.54,-182.0
23,0.581905137206485,-182.0,-199.54,-182.0
24,0.5728940345455628,-182.0,-199.548,-182.0
25,0.5662753377155915,-182.0,-199.548,-182.0
26,0.5717830700398222,-182.0,-199.548,-182.0
27,0.5606958900922063,-182.0,-199.528,-182.0
28,0.5653989199381235,-182.0,-199.524,-182.0
29,0.5568444716817393,-182.0,-199.548,-182.0
30,0.5551815466989813,-182.0,-199.548,-182.0
31,0.5739543654139945,-177.2,-199.43200000000002,-177.2
32,0.5916060370370666,-176.4,-199.412,-176.4
33,0.6038087719603535,-175.8,-199.4,-175.8
34,0.6426245019407453,-175.6,-199.392,-175.6
35,0.6298712410010142,-180.2,-199.32,-180.2
36,0.6037372315753885,-180.2,-199.33599999999998,-180.2
37,0.5701952899214858,-180.2,-199.31199999999998,-180.2
38,0.5474045979767439,-180.2,-199.34,-180.2
39,0.5022531614008725,-180.2,-199.27199999999996,-180.2
40,0.49939407815638387,-180.2,-199.24,-180.2
41,0.47934700000955227,-180.2,-199.24400000000003,-180.2
42,0.4476664475941636,-183.2,-199.06799999999998,-185.0
43,0.39948587037282346,-183.2,-198.93600000000004,-185.2
44,0.46197496202097743,-181.0,-198.83599999999998,-186.6
45,0.5305806532674003,-179.0,-198.65599999999998,-179.8
46,0.5539112281053942,-179.8,-198.9,-179.8
47,1.0502440574601635,-147.0,-197.65599999999998,-147.0
48,1.0094746176049596,-148.4,-197.77599999999998,-148.4
49,1.0385192066196276,-147.4,-197.68800000000002,-147.4
50,1.043039651613716,-146.8,-197.53599999999997,-146.8
51,0.9781911980748422,-156.2,-196.9,-156.2
52,0.93038638138525,-146.4,-196.72799999999998,-147.2
53,0.912179138705825,-146.4,-196.44799999999998,-146.4
54,0.851533475538244,-146.0,-196.484,-146.6
55,0.8074561101888704,-146.2,-196.668,-146.2
56,0.8206984580592962,-146.0,-195.73200000000006,-146.8
57,0.804211656826272,-146.2,-195.612,-146.2
58,0.7724468148356954,-145.0,-195.55199999999996,-145.0
59,0.7796205384797916,-145.6,-195.7,-145.6
60,0.7507833574295896,-142.8,-195.56400000000002,-146.6
61,0.7342016903176652,-142.2,-195.56,-146.6
62,0.733426480575063,-143.0,-195.572,-146.4
63,0.7273316037849066,-141.6,-195.57199999999997,-146.8
64,0.7412792535345412,-143.2,-195.58,-143.2
65,0.7106417017683243,-144.2,-195.524,-155.2
66,0.710127841673559,-146.2,-195.61599999999999,-146.2
67,0.8389121973351792,-122.0,-193.94400000000002,-122.0
68,0.9035316318014835,-121.2,-194.03600000000003,-121.2
69,0.8587948202678586,-121.6,-192.76800000000003,-121.6
70,0.8369603710725307,-121.6,-192.644,-121.6
71,0.8085702692756049,-121.6,-191.58800000000002,-121.6
72,0.7895812523908262,-121.8,-191.87599999999998,-121.8
73,0.7345710029963162,-121.8,-191.72800000000004,-121.8
74,0.7351112118649283,-119.2,-192.12,-119.2
75,0.7213196761380382,-122.0,-191.832,-122.0
76,0.736528863877948,-119.6,-191.88,-119.6
77,0.7272609705545516,-121.6,-191.83199999999997,-121.6
78,0.7272710455717102,-121.6,-191.65600000000003,-121.6
79,0.7134430641569308,-122.0,-191.84800000000004,-122.0
80,0.7144586381773635,-119.8,-191.416,-119.8
81,0.7038387133533941,-121.6,-191.704,-121.6
82,0.7085282447593125,-120.2,-191.1,-120.2
83,0.7076050653759627,-120.2,-191.11599999999999,-120.2
84,0.7094905079078664,-121.8,-191.544,-121.8
85,0.6968660569824022,-120.8,-190.31199999999998,-120.8
86,0.6863082706287205,-121.2,-190.356,-121.2
87,0.6650304190437669,-119.8,-189.168,-119.8
88,0.6516257182454286,-120.2,-189.18,-120.2
89,0.6313591334705215,-119.4,-188.95199999999997,-119.4
90,0.621356509007603,-121.6,-189.016,-121.6
91,0.6042172364853613,-124.4,-189.05599999999998,-124.4
92,0.6031260096064864,-121.6,-189.21599999999998,-121.6
93,0.6078990063727436,-119.4,-189.15600000000003,-119.4
94,0.6053896970351429,-119.6,-188.76,-119.6
95,0.603778195483303,-121.2,-188.34799999999998,-121.2
96,0.6019884010888948,-121.6,-188.312,-121.6
97,0.604309075331316,-118.8,-188.584,-118.8
98,0.5677150430779667,-124.4,-185.71599999999998,-124.4
99,0.5443800407960242,-121.0,-184.94799999999998,-121.0
100,0.5234412089776506,-121.6,-184.72,-121.6
