generation,best_avg_reward,avg_top10_reward,worst_avg_reward
1,-125.29112660987911,-410.0923708038461,-1061.3246747458209
2,-271.4347669067975,-275.89530862782243,-1033.8316276377063
3,-396.8196712089312,-306.4661860832527,-1016.2956993810478
4,-275.5913351609998,-172.02277755800995,-723.2307083541599
5,-78.23169712643156,-177.07290325020253,-648.6591653018775
6,-26.882757827730746,-159.46431153183758,-819.695524888814
7,-133.68566406429014,-144.08889522756274,-1126.52133423298
8,-91.71564821762465,-109.16739427116897,-1035.0023821403151
9,-22.56744649518756,-127.88264942468669,-587.5425458754362
10,-24.579604091752294,-131.81110970934967,-872.6343785960693
11,-76.06498042129343,-90.34118810905267,-707.073211661954
12,-44.2874336313766,-186.8247399366751,-1065.6439452445343
13,-11.035978098477388,-100.33437377847166,-885.6452580470752
14,-78.4965914559769,-143.46309454825595,-1647.7050629324153
15,-192.56570255535945,-164.40603370320812,-927.6290624033556
16,-250.34235997421783,-156.12040589465133,-1288.5541440417605
17,-96.29788147533456,-182.72233987424295,-1131.2118393631242
18,-128.10662929147566,-88.18719177316059,-699.386620730325
19,-143.65709267522251,-158.26284047633172,-765.9806389602206
20,-83.82099527877772,-121.20711783597415,-1205.8854021715447
21,-145.97261645476402,-115.15941300420083,-1783.4657629588323
22,-54.13207892751909,-113.70722607878785,-867.2118182799762
23,-48.85374800382682,-272.2380829070668,-1629.097099577763
24,-74.53571193398369,-135.09363235966242,-1098.407597860462
25,-87.57892298403576,-137.98030965998984,-1269.1048224573588
26,17.07130400787729,-91.73238677121289,-918.26721248799
27,-40.67671738609223,-146.99195701303609,-944.471445846713
28,-3.235627197774164,-79.79024548664535,-920.5728863771377
29,-45.09047845205505,-146.31715943260485,-1433.0894703548993
30,-8.37798801563595,-88.74156878591585,-1554.5202819106169
31,-492.88985140530997,-179.621221058572,-966.6732671851674
32,-695.9206744383906,-182.62652137433713,-1436.7067204121408
33,-0.7523020605019951,-68.29242784819418,-1344.4623156008342
34,-7.474220924422914,-163.53239722554,-969.2711201752663
35,-100.78792601765949,-164.88691431288325,-1242.2864324881755
36,-32.00391531858632,-230.3205632822104,-1248.792030057678
37,-1245.8780732100506,-180.8852713941748,-1245.8780732100506
38,4.006002796463545,-142.48185597809672,-1534.2749808593792
39,-75.42105288706637,-134.46211992336578,-2169.222329828687
40,15.562646160688098,-38.06464740273173,-1398.379712128777
41,57.44597209665291,-24.182237057191344,-1779.0801472809944
42,-61.96939278867162,-22.974704121921175,-1843.4434345547295
43,-68.20324516073747,-1.5601592921655805,-1927.016213578294
44,-322.51976790156084,-70.86041529431652,-946.5254335671358
45,-17.658208768013303,-111.97911062529876,-1652.9500192129926
46,-85.68060118004203,-85.2046889434354,-2173.6437376413455
47,35.28338939623766,-36.77819092899523,-1664.6389758812682
48,-132.05212181634042,-125.93682857057114,-1393.2722697628942
49,-17.69257892155077,-76.69507025225165,-1274.2112428668001
50,-68.14352337836779,-56.15516184757269,-1169.7378096220502
51,57.77299879909826,-143.09741296168795,-1261.9753882182847
52,-159.59568362827522,-184.05624655815953,-1199.0271867671142
53,18.006533490536903,17.23674906936238,-1758.497295900442
54,-76.41874634652322,-142.385637941846,-1511.7833604783896
55,10.828237249704042,-29.435351778521547,-1375.1907650983321
56,35.75236427476981,-3.3128472279793986,-1077.6149058143067
57,46.3563378316065,-11.426867225337709,-1575.1509136400746
58,39.588255552871615,7.118054983062869,-1429.2021834642958
59,69.60717492964262,11.613531617488462,-1350.4630725997893
60,65.47854841624675,-15.503438697231893,-1011.5494557359236
61,47.558033472465894,-8.00899448113198,-1554.9989087808858
62,-259.371988308841,-413.8922279738202,-1352.3964187357897
63,-28.992234218579966,-88.27772973422749,-1142.0752517076485
64,-40.82207625729482,-83.8633904177618,-1438.0503442835752
65,-119.15480688837322,0.7256568075138089,-1042.07466309581
66,-86.11364452201326,-141.11334973187036,-906.6772964695625
67,-56.833596514084185,-96.1738146957238,-1371.4792580658457
68,14.283155941563772,30.22836455234211,-1283.7858686009909
69,-104.73805783342911,-75.08623306524296,-895.0301201892153
70,13.626315045354932,-64.64752206614006,-1151.043356912322
71,-2.4241488528952915,-86.6659889056758,-1264.700256262897
72,9.503092273443087,-63.83873595419548,-1114.944867322647
73,-1.6279861057346097,-74.79788675721291,-1400.4137356693545
74,-7.001074572014741,-14.040228458839048,-1494.6890520377478
75,17.349278103905327,3.880957045353869,-895.2280297300373
76,23.75991280840771,17.508925565672595,-1540.377005092536
77,108.63160618334273,30.80360885352002,-837.2662183582974
78,6.3861162031586245,1.7814937840884388,-1605.2186169777153
79,25.27460435412788,10.732801699786892,-972.1305197032179
80,75.75064124996686,-14.821086232757233,-764.4506111244067
