Timestamp_sec,CPU_Usage_Percent,GPU_Power_Watts
135.16,5.9,31.12
135.66,6.6,48.78
136.16,5.9,58.7
136.66,6.5,62.08
137.16,6.6,61.79
137.66,6.1,61.35
138.16,5.8,63.56
138.67,21.1,53.76
139.17,22.5,42.09
139.67,67.5,38.75
140.17,36.2,33.64
140.67,6.2,24.72
141.17,22.7,18.95
141.67,34,18.8
142.17,18.3,18.71
142.67,5.6,23.6
143.17,8.5,45.28
143.67,4.9,64.83
144.17,7,69.63
144.67,6.5,73.17
145.17,6.8,77.48
145.67,4.3,80.01
146.17,21.9,69.35
146.67,39.3,45.78
147.17,43.7,25.9
147.67,23.1,20.71
148.18,15.3,20.09
148.68,5.4,19.67
149.18,33.7,19.41
149.68,13.9,19.19
150.18,11.2,21.87
150.68,6.6,39.99
151.18,4.7,59.89
151.68,5.6,65.28
152.18,6,65.53
152.68,6.4,65.78
153.18,5.8,71.38
153.68,17.3,74.91
154.18,29.8,60.54
154.68,12.2,42.67
155.18,43.1,36.62
155.68,11.3,26.26
156.18,28.4,19.55
156.69,63.9,19.2
157.19,35.8,19.02
157.69,9.5,18.88
158.19,9,28.08
158.69,7.7,43.84
159.19,7.5,61.57
159.69,7,77.61
160.19,4.7,85.2
160.69,6.4,84.33
161.19,5.8,82.98
161.69,43.3,61.9
162.19,31.4,34.46
162.69,12.9,22.73
163.19,31.8,20.4
163.69,9.9,19.95
164.19,24.5,19.51
164.69,4.9,19.2
165.19,34,18.97
165.7,6.3,23.67
166.2,5.7,43.61
166.7,6.4,60.3
167.2,6.9,62.5
167.7,10.4,64.38
168.2,6,69.58
168.7,5.8,73.67
169.2,21.5,65.72
169.7,8.2,46.01
170.2,32.7,26.78
170.7,67.6,20.47
171.2,24.9,19.94
171.7,6.3,19.57
172.2,26.7,19.22
172.7,13.9,19.03
173.2,6.2,21.04
173.7,8.9,39.34
174.2,8.6,62.51
174.7,7.6,71.49
175.2,5.2,72.69
175.7,7,72.11
176.2,100,70.05
176.71,5.8,69.2
177.21,24.6,57.57
177.71,19.2,42.3
178.21,22,40.39
178.71,43.5,30.17
179.21,35.1,19.84
179.71,20.3,19.3
