Timestep,Reward
160,10.0
160,10.0
192,12.0
192,12.0
208,13.0
272,17.0
272,17.0
288,18.0
368,23.0
400,25.0
416,16.0
416,16.0
448,28.0
448,28.0
480,18.0
528,21.0
528,33.0
560,18.0
608,20.0
624,11.0
640,40.0
688,10.0
704,18.0
704,27.0
720,32.0
736,18.0
752,47.0
784,19.0
800,10.0
816,13.0
880,11.0
896,30.0
928,12.0
928,13.0
976,11.0
1008,40.0
1008,28.0
1024,64.0
1088,25.0
1088,43.0
1152,11.0
1168,26.0
1184,11.0
1264,16.0
1264,15.0
1264,23.0
1280,12.0
1280,22.0
1296,48.0
1296,26.0
1296,30.0
1328,25.0
1344,10.0
1344,35.0
1344,11.0
1376,42.0
1440,18.0
1456,52.0
1456,10.0
1504,13.0
1520,14.0
1520,27.0
1520,11.0
1536,16.0
1600,21.0
1648,23.0
1648,17.0
1664,21.0
1664,13.0
1680,26.0
1680,21.0
1696,16.0
1728,14.0
1760,31.0
1792,21.0
1824,19.0
1840,20.0
1872,22.0
1872,33.0
1904,15.0
1920,14.0
1936,11.0
1952,26.0
1952,19.0
1968,15.0
1984,24.0
1984,20.0
1984,19.0
1984,12.0
2144,31.0
2176,12.0
2176,21.0
2192,18.0
2192,20.0
2192,13.0
2208,14.0
2224,15.0
2224,25.0
2240,35.0
2240,18.0
2272,25.0
2288,21.0
2352,10.0
2352,13.0
2384,13.0
2384,29.0
2400,29.0
2464,31.0
2496,13.0
2528,22.0
2528,20.0
2560,13.0
2560,20.0
2592,25.0
2592,23.0
2608,16.0
2624,22.0
2656,16.0
2688,29.0
2688,28.0
2704,11.0
2752,10.0
2768,24.0
2768,10.0
2784,14.0
2784,20.0
2848,20.0
2864,11.0
2880,20.0
2912,13.0
2928,10.0
2960,11.0
2960,21.0
3024,27.0
3024,40.0
3024,33.0
3040,22.0
3056,13.0
3072,18.0
3136,11.0
3168,19.0
3168,25.0
3200,17.0
3200,10.0
3232,13.0
3264,38.0
3280,33.0
3280,14.0
3408,13.0
3408,33.0
3440,78.0
3440,15.0
3456,14.0
3456,18.0
3472,32.0
3472,28.0
3504,21.0
3600,20.0
3632,14.0
3648,24.0
3664,14.0
3664,24.0
3680,48.0
3696,12.0
3696,15.0
3728,20.0
3808,13.0
3824,43.0
3872,9.0
3904,16.0
3904,55.0
3920,29.0
3952,16.0
3968,31.0
3968,31.0
3984,22.0
3984,34.0
4016,22.0
4096,12.0
4112,65.0
4160,16.0
4176,16.0
4192,14.0
4192,31.0
4224,13.0
4320,14.0
4336,24.0
4336,11.0
4352,24.0
4368,43.0
4384,13.0
4384,25.0
4448,16.0
4464,40.0
4480,51.0
4496,24.0
4528,45.0
4560,12.0
4560,14.0
4576,16.0
4576,12.0
4576,15.0
4624,17.0
4624,40.0
4752,8.0
4752,33.0
4784,19.0
4800,14.0
4800,17.0
4816,12.0
4832,21.0
4864,18.0
4864,26.0
4896,21.0
4944,35.0
4944,30.0
4960,48.0
4992,12.0
5008,14.0
5040,14.0
5040,11.0
5040,73.0
5056,19.0
5136,17.0
5168,38.0
5200,39.0
5216,17.0
5232,18.0
5232,17.0
5248,13.0
5264,23.0
5264,27.0
5280,18.0
5296,16.0
5312,32.0
5312,17.0
5456,13.0
5456,20.0
5472,19.0
5488,11.0
5504,19.0
5504,17.0
5536,17.0
5536,33.0
