generation,best_fitness_score,global_max_raw_reward,global_avg_raw_reward,selected_individual_reward
1,0.09999999999999988,-500.0,-500.0,-500.0
2,2.0599931764197756,-432.8,-498.656,-432.8
3,2.549990597485979,-413.8,-498.276,-413.8
4,2.5884358123318045,-413.8,-497.72,-413.8
5,2.273415824727775,-367.8,-494.67199999999997,-408.0
6,2.043602820829704,-366.2,-492.12,-408.0
7,1.7723008642015627,-347.2,-485.85600000000005,-395.8
8,1.2789756498137712,-332.2,-472.1039999999999,-346.6
9,1.079922975425802,-313.6,-470.348,-388.8
10,0.746605159440089,-309.4,-471.204,-309.4
11,0.6744736651754198,-280.6,-450.56800000000004,-321.2
12,0.6886987844778958,-211.8,-457.53600000000006,-211.8
13,0.6086353489192826,-216.6,-446.63599999999997,-216.6
14,0.5639288629128396,-227.8,-443.2560000000001,-227.8
15,0.5233256835317729,-210.2,-427.82800000000003,-210.2
16,0.49004499115818156,-212.0,-424.296,-226.6
17,0.41688440967799334,-201.6,-411.81199999999995,-216.2
18,0.3781564177311587,-199.6,-411.38,-206.4
19,0.33666110534406235,-174.6,-392.108,-212.6
20,0.39595329662468903,-177.2,-426.0160000000001,-177.2
21,0.37503709020542564,-167.8,-399.31199999999995,-167.8
22,0.3847885728177318,-177.2,-421.21600000000007,-177.2
23,0.38976330855438585,-167.2,-418.92400000000004,-167.2
24,0.3949790274524112,-176.4,-401.19199999999995,-177.0
25,0.3754948131824326,-167.4,-412.676,-167.4
26,0.38123308090973973,-154.0,-404.056,-154.0
27,0.3745809145089183,-174.4,-415.74799999999993,-179.2
28,0.3811634996166153,-153.6,-420.332,-153.6
29,0.4106930810630409,-152.2,-416.69599999999997,-157.8
30,0.40009553932364417,-150.2,-411.404,-153.2
31,0.38843221719753596,-132.0,-384.82800000000003,-152.2
32,0.37063751501118497,-138.6,-386.82399999999996,-169.6
33,0.3845338986643507,-106.4,-397.42400000000004,-106.4
34,0.3857437721936192,-94.6,-395.30800000000005,-94.6
35,0.36013071019540455,-93.2,-367.38800000000003,-93.2
36,0.34499366620828525,-86.2,-361.24,-86.2
37,0.3557424649581156,-88.2,-396.61600000000004,-88.2
38,0.34467456674461916,-81.0,-372.156,-81.0
39,0.3388521055605289,-81.4,-382.664,-81.4
40,0.34221547450375117,-98.0,-374.38,-98.0
41,0.3498307964035654,-86.2,-377.008,-86.2
42,0.32120915632212127,-97.2,-342.56399999999996,-97.2
43,0.3427356341536247,-87.8,-386.31200000000007,-113.8
44,0.36804797916000875,-91.4,-393.50800000000004,-108.6
45,0.33874217245786575,-90.2,-370.9200000000001,-106.0
46,0.32841479519957917,-79.8,-369.66399999999993,-79.8
47,0.32926589733894823,-83.8,-342.38800000000003,-95.8
48,0.3182633135970982,-84.2,-366.49199999999996,-84.2
49,0.2867744517191905,-87.6,-317.776,-87.6
50,0.3161839071713952,-86.2,-377.728,-117.6
