Timestamp_sec,CPU_Usage_Percent,GPU_Power_Watts
135.54,60.5,30.54
136.06,53.8,30.41
136.56,56.8,32.16
137.08,57.6,28.79
137.58,58.1,28.77
138.09,54.2,30.51
138.60,61.5,28.93
139.12,61.4,29.11
139.63,61.4,29.14
140.14,58.2,28.28
140.65,54.7,29.00
141.17,56.3,32.73
141.67,56.5,28.71
142.18,52.3,32.51
142.70,56.1,31.70
143.22,56.2,28.59
143.74,56.6,32.30
144.25,58.0,30.34
144.77,56.7,32.07
145.28,52.5,31.33
145.80,54.4,32.66
146.30,60.3,28.78
146.82,57.5,31.84
147.34,55.8,31.73
147.86,55.0,32.37
148.37,52.7,31.05
148.89,55.9,29.02
149.41,55.5,28.77
149.92,56.3,29.02
150.44,55.3,28.39
150.95,51.3,29.00
151.47,55.9,30.46
151.97,57.4,28.91
152.49,54.9,28.68
153.00,52.6,28.53
153.52,54.8,31.43
154.03,54.2,33.26
154.55,55.9,31.33
155.06,57.8,28.75
155.58,55.4,28.43
156.10,54.9,28.74
156.61,53.2,28.71
157.13,54.9,28.82
157.63,55.3,29.15
158.15,59.9,28.71
158.67,56.3,29.53
159.19,55.7,28.23
159.70,55.9,30.18
160.22,57.7,29.41
160.74,54.7,30.59
161.24,54.2,28.66
161.75,52.0,31.13
162.27,54.6,30.46
162.78,54.9,29.48
163.28,54.1,30.29
163.80,54.0,28.48
164.30,56.1,29.66
164.82,14.9,26.40
165.32,9.9,74.64
165.84,9.6,81.86
166.36,10.1,84.85
166.87,10.8,84.46
167.37,9.6,84.08
167.89,10.0,84.20
168.41,10.2,84.04
168.93,11.0,86.19
169.44,10.2,81.69
169.96,11.3,83.46
170.47,12.8,82.59
170.98,10.8,80.59
171.48,10.3,78.93
172.00,9.5,83.63
172.51,10.0,81.19
173.03,10.2,88.26
173.53,11.4,87.32
174.05,9.9,89.97
174.55,11.8,84.99
175.07,9.8,85.85
175.57,14.0,84.65
176.07,11.6,89.03
176.57,10.4,84.59
177.08,8.5,83.47
177.59,56.1,61.62
178.10,59.3,61.23
178.60,66.2,60.87
179.12,62.9,60.82
179.62,56.7,45.24
180.14,57.7,37.24
180.66,61.3,37.69
181.17,57.0,29.20
