Timestamp_sec,CPU_Usage_Percent,GPU_Power_Watts
134.70,14.4,70.63
135.22,11.5,71.08
135.73,11.2,56.70
136.25,13.6,76.88
136.76,13.0,80.00
137.27,11.1,80.04
137.77,11.9,75.19
138.27,11.5,69.91
138.79,12.6,70.27
139.30,11.8,58.50
139.82,12.2,79.49
140.34,12.5,78.94
140.84,15.8,76.64
141.34,11.3,75.98
141.85,14.1,69.84
142.35,13.0,70.63
142.86,10.8,53.73
143.37,12.1,62.03
143.88,13.2,77.33
144.40,12.0,78.39
144.90,13.9,77.60
145.42,12.3,57.41
145.93,12.7,77.08
146.45,14.8,77.19
146.96,14.0,79.20
147.47,12.1,72.07
147.98,12.8,72.25
148.49,10.4,69.08
149.00,12.7,70.86
149.51,12.5,56.11
150.01,13.3,79.40
150.51,13.3,78.95
151.01,14.7,78.48
151.52,11.8,78.11
152.02,12.6,71.90
152.52,11.6,56.87
153.02,14.2,82.30
153.53,11.4,80.36
154.05,13.4,82.81
154.56,11.5,81.48
155.08,11.9,70.88
155.59,11.3,56.97
156.11,11.2,57.08
156.61,12.0,77.74
157.11,12.0,78.60
157.63,12.8,78.66
158.13,12.3,79.18
158.64,13.7,57.70
159.15,13.5,59.47
159.67,13.8,80.43
160.17,11.0,79.05
160.69,11.7,78.32
161.20,10.6,71.14
161.71,12.8,71.95
162.23,13.0,71.03
162.73,12.1,56.35
163.23,12.4,78.35
163.74,13.0,78.75
164.24,12.6,79.65
164.75,12.2,80.39
165.26,11.9,70.19
165.77,12.9,71.92
166.28,12.1,72.14
166.79,14.8,70.36
167.31,14.4,70.09
167.82,12.7,56.43
168.33,13.0,78.61
168.83,12.1,77.51
169.33,12.1,77.61
169.85,11.4,78.04
170.35,13.1,64.00
170.87,11.6,78.03
171.37,13.1,79.07
171.89,16.2,79.88
172.40,18.8,71.49
172.92,12.6,70.29
173.43,17.1,72.45
173.95,20.4,71.39
174.47,15.2,70.95
174.98,18.4,72.18
175.49,17.1,54.64
176.00,17.5,64.82
176.51,15.7,76.88
177.02,17.5,78.11
177.53,16.6,79.77
178.04,16.7,59.18
178.55,17.2,77.25
179.05,15.9,80.60
179.57,17.0,77.51
180.08,15.6,58.11
180.59,13.0,77.25
