generation,individual_id,seed_value,raw_reward,shared_fitness
1,0,2043,-1744.890524040162,0.06862423053097444
1,0,2111,-1561.8430493919889,0.06862423053097444
1,0,2103,-1831.5564740059335,0.06862423053097444
1,0,2070,-1450.2215850559319,0.06862423053097444
1,0,2046,-1438.6058100425919,0.06862423053097444
1,1,2043,-1627.4604216020505,0.06950593272077779
1,1,2111,-1548.9122737167736,0.06950593272077779
1,1,2103,-1888.5779212466432,0.06950593272077779
1,1,2070,-1578.3254375488877,0.06950593272077779
1,1,2046,-1203.6549528325077,0.06950593272077779
1,2,2043,-1853.5730501710802,0.03145564401783482
1,2,2111,-1717.6609155971248,0.03145564401783482
1,2,2103,-1936.7380008006062,0.03145564401783482
1,2,2070,-1733.990992851763,0.03145564401783482
1,2,2046,-1561.6418412372386,0.03145564401783482
1,3,2043,-1741.0970249750608,0.05682159723418371
1,3,2111,-1651.1621908624502,0.05682159723418371
1,3,2103,-1785.4889764480538,0.05682159723418371
1,3,2070,-1716.7488308255345,0.05682159723418371
1,3,2046,-1638.5381024974706,0.05682159723418371
1,4,2043,-1437.6765364197859,0.09417071915146295
1,4,2111,-1090.036174766343,0.09417071915146295
1,4,2103,-1811.6949377742228,0.09417071915146295
1,4,2070,-1582.5717528574467,0.09417071915146295
1,4,2046,-1616.5005915841696,0.09417071915146295
1,5,2043,-1838.1545274149507,0.03184159539757209
1,5,2111,-1707.383700775853,0.03184159539757209
1,5,2103,-1910.7663227263401,0.03184159539757209
1,5,2070,-1776.658860382825,0.03184159539757209
1,5,2046,-1667.4462689536178,0.03184159539757209
1,6,2043,-1793.415290345824,0.05474675494859843
1,6,2111,-1601.2731460652067,0.05474675494859843
1,6,2103,-1906.1659308236135,0.05474675494859843
1,6,2070,-1546.3821108510112,0.05474675494859843
1,6,2046,-1336.052413224725,0.05474675494859843
1,7,2043,-1665.3251820482494,0.07842477785134269
1,7,2111,-1446.196367190119,0.07842477785134269
1,7,2103,-1730.9796322962457,0.07842477785134269
1,7,2070,-1644.630200309085,0.07842477785134269
1,7,2046,-1535.5878614317155,0.07842477785134269
1,8,2043,-1596.5225112521234,0.08618885180785345
1,8,2111,-1279.8041396875487,0.08618885180785345
1,8,2103,-1880.701893399923,0.08618885180785345
1,8,2070,-1287.6625398667666,0.08618885180785345
1,8,2046,-1358.8973431700067,0.08618885180785345
1,9,2043,-1779.1309008498301,0.047742849875147333
1,9,2111,-1705.4588669886782,0.047742849875147333
1,9,2103,-1815.0166265865125,0.047742849875147333
1,9,2070,-1744.9176947126014,0.047742849875147333
1,9,2046,-1675.387255037272,0.047742849875147333
1,10,2043,-1728.5384681816267,0.060448893031972456
1,10,2111,-1642.7051898154448,0.060448893031972456
1,10,2103,-1769.8747232273593,0.060448893031972456
1,10,2070,-1702.1280219613707,0.060448893031972456
1,10,2046,-1626.3776247227158,0.060448893031972456
1,11,2043,-1562.4655611788407,0.08687053676606234
