generation,individual_id,seed_value,reward,shared_fitness
1,0,2100,-1103.7036656266118,0.1020529205327381
1,0,2069,-1077.0923857735304,0.1020529205327381
1,0,2099,-897.3661669401382,0.1020529205327381
1,0,2038,-975.3613585684834,0.1020529205327381
1,0,2025,-1911.7318956152355,0.1020529205327381
1,1,2100,-2000.0,0.08363797437190516
1,1,2069,-1139.1557249667387,0.08363797437190516
1,1,2099,-1154.5319077232825,0.08363797437190516
1,1,2038,-852.0693794313271,0.08363797437190516
1,1,2025,-1875.3238148421244,0.08363797437190516
1,2,2100,-1098.9788715548473,0.037397917360381144
1,2,2069,-2000.0,0.037397917360381144
1,2,2099,-2000.0,0.037397917360381144
1,2,2038,-2000.0,0.037397917360381144
1,2,2025,-1914.6567041643489,0.037397917360381144
1,3,2100,-1127.2537695728233,0.10564975591274824
1,3,2069,-1081.91617645602,0.10564975591274824
1,3,2099,-705.9996609938369,0.10564975591274824
1,3,2038,-990.2035643938381,0.10564975591274824
1,3,2025,-1908.1737121102333,0.10564975591274824
1,4,2100,-1144.6364321124818,0.10509004535001845
1,4,2069,-1094.7542973101888,0.10509004535001845
1,4,2099,-1084.1839860890834,0.10509004535001845
1,4,2038,-854.094457998529,0.10509004535001845
1,4,2025,-1881.3194390539054,0.10509004535001845
1,5,2100,-1148.050208290601,0.10232358081529112
1,5,2069,-1101.0181900035543,0.10232358081529112
1,5,2099,-955.4491289352735,0.10232358081529112
1,5,2038,-971.0640719366443,0.10232358081529112
1,5,2025,-1896.0933938562075,0.10232358081529112
1,6,2100,-1155.784697945092,0.10336909530239571
1,6,2069,-1115.9598100049602,0.10336909530239571
1,6,2099,-1041.3517424886625,0.10336909530239571
1,6,2038,-967.165322418779,0.10336909530239571
1,6,2025,-1878.9772096798918,0.10336909530239571
1,7,2100,-1059.5595106450446,0.10923509786484716
1,7,2069,-970.384078261118,0.10923509786484716
1,7,2099,-850.4436763544793,0.10923509786484716
1,7,2038,-1066.5791312437377,0.10923509786484716
1,7,2025,-1887.4280701515834,0.10923509786484716
1,8,2100,-1161.561501573855,0.1044388057964559
1,8,2069,-1134.4155606997326,0.1044388057964559
1,8,2099,-1156.6117399895036,0.1044388057964559
1,8,2038,-852.6733183664248,0.1044388057964559
1,8,2025,-1870.2283799318463,0.1044388057964559
1,9,2100,-1162.5135292377884,0.10378650756477618
1,9,2069,-1146.437018317669,0.10378650756477618
1,9,2099,-1106.774609672372,0.10378650756477618
1,9,2038,-852.1419652135106,0.10378650756477618
1,9,2025,-1877.5222055663576,0.10378650756477618
1,10,2100,-1157.7309801518074,0.10167125998502415
1,10,2069,-1124.110709692537,0.10167125998502415
1,10,2099,-1045.440113892285,0.10167125998502415
1,10,2038,-963.208276499069,0.10167125998502415
1,10,2025,-1886.7129153874273,0.10167125998502415
1,11,2100,-1143.8148337132109,0.10301052475802712
1,11,2069,-1093.2834655456452,0.10301052475802712
1,11,2099,-1031.0544897431548,0.10301052475802712
1,11,2038,-967.5675738643837,0.10301052475802712
1,11,2025,-1886.1691860333497,0.10301052475802712
1,12,2100,-1145.5823660390768,0.10018852515035517
1,12,2069,-1097.6980579394071,0.10018852515035517
1,12,2099,-1034.8236727095082,0.10018852515035517
1,12,2038,-967.5119203785005,0.10018852515035517
1,12,2025,-1899.9403835328706,0.10018852515035517
1,13,2100,-1161.7616705175337,0.10177396833029469
1,13,2069,-1145.1325092866796,0.10177396833029469
1,13,2099,-1164.9608999823522,0.10177396833029469
1,13,2038,-899.8427989617597,0.10177396833029469
1,13,2025,-1877.0584866509328,0.10177396833029469
1,14,2100,-1119.0044684505428,0.10198587913805654
1,14,2069,-1080.2679524996825,0.10198587913805654
1,14,2099,-1040.29297020007,0.10198587913805654
1,14,2038,-967.6774748258603,0.10198587913805654
1,14,2025,-1895.2506007683937,0.10198587913805654
1,15,2100,-1166.57311540264,0.10074176478418273
1,15,2069,-1161.0153123654216,0.10074176478418273
1,15,2099,-1208.518103364865,0.10074176478418273
1,15,2038,-1194.9619564923323,0.10074176478418273
1,15,2025,-1843.7444458296072,0.10074176478418273
1,16,2100,-1097.4238289615143,0.10223795598763158
1,16,2069,-1073.9182514018828,0.10223795598763158
1,16,2099,-771.5105411148518,0.10223795598763158
1,16,2038,-1028.7357359373696,0.10223795598763158
1,16,2025,-1919.7401087468281,0.10223795598763158
1,17,2100,-1084.079271233719,0.10081347776528625
1,17,2069,-1071.5908492359054,0.10081347776528625
1,17,2099,-835.6080963561002,0.10081347776528625
1,17,2038,-1046.7526460542779,0.10081347776528625
1,17,2025,-1920.4014738350138,0.10081347776528625
1,18,2100,-1149.8777552776642,0.09933925300864893
1,18,2069,-1105.3011179321986,0.09933925300864893
1,18,2099,-897.2694178903681,0.09933925300864893
1,18,2038,-1008.5901594536191,0.09933925300864893
1,18,2025,-1913.370658224128,0.09933925300864893
1,19,2100,-1157.0156664189842,0.10564295951353152
1,19,2069,-1123.7880912829776,0.10564295951353152
1,19,2099,-1143.5214915617446,0.10564295951353152
1,19,2038,-854.0098890670994,0.10564295951353152
1,19,2025,-1866.9749864270748,0.10564295951353152
1,20,2100,-1125.8570885967254,0.10389657918188155
1,20,2069,-1080.365535221955,0.10389657918188155
1,20,2099,-747.1959915413825,0.10389657918188155
1,20,2038,-1002.745938041794,0.10389657918188155
1,20,2025,-1912.0363066860748,0.10389657918188155
1,21,2100,-1141.2990945139131,0.09909864083709548
1,21,2069,-1089.8043099035226,0.09909864083709548
1,21,2099,-836.7351933637796,0.09909864083709548
1,21,2038,-1056.1426522922745,0.09909864083709548
1,21,2025,-1919.0052193852914,0.09909864083709548
1,22,2100,-1072.6397543589476,0.10177707510023913
1,22,2069,-1068.7859538897183,0.10177707510023913
1,22,2099,-855.834306361066,0.10177707510023913
1,22,2038,-1066.6123650618154,0.10177707510023913
1,22,2025,-1912.7726904200622,0.10177707510023913
1,23,2100,-1069.3350500129166,0.10291296631884027
1,23,2069,-1054.3570138708521,0.10291296631884027
1,23,2099,-850.8723665072475,0.10291296631884027
1,23,2038,-1066.4654302679767,0.10291296631884027
1,23,2025,-1909.4693222624899,0.10291296631884027
1,24,2100,-1124.7923123764122,0.09892804259640746
1,24,2069,-1081.2460188923546,0.09892804259640746
1,24,2099,-1016.4035713495289,0.09892804259640746
1,24,2038,-968.7810210893475,0.09892804259640746
1,24,2025,-1913.0316620658707,0.09892804259640746
1,25,2100,-1164.072998172198,0.10310560988893433
1,25,2069,-1141.8861429619706,0.10310560988893433
1,25,2099,-1266.077709879919,0.10310560988893433
1,25,2038,-1245.2757528777342,0.10310560988893433
1,25,2025,-1822.2946074548452,0.10310560988893433
1,26,2100,-1149.1903989930024,0.09909919100781313
1,26,2069,-1103.1501140906455,0.09909919100781313
1,26,2099,-1032.491547148841,0.09909919100781313
1,26,2038,-969.6281920372038,0.09909919100781313
1,26,2025,-1904.6170593984098,0.09909919100781313
1,27,2100,-1167.9939135886857,0.09988797504827812
1,27,2069,-1160.517747281019,0.09988797504827812
1,27,2099,-1265.1640983689986,0.09988797504827812
1,27,2038,-1244.4810664558888,0.09988797504827812
1,27,2025,-1836.7552354237082,0.09988797504827812
1,28,2100,-1160.1930526717724,0.10056261347076496
1,28,2069,-1132.8853407236254,0.10056261347076496
1,28,2099,-1050.19544925858,0.10056261347076496
1,28,2038,-964.0762071583451,0.10056261347076496
1,28,2025,-1890.6051595557594,0.10056261347076496
1,29,2100,-1164.6259225850963,0.10021225827920566
1,29,2069,-1153.3724990069795,0.10021225827920566
1,29,2099,-1057.9770988550863,0.10021225827920566
1,29,2038,-959.1413727513192,0.10021225827920566
1,29,2025,-1889.1224894146515,0.10021225827920566
1,30,2100,-1161.756235205192,0.09990997873922007
1,30,2069,-1134.9522214168605,0.09990997873922007
1,30,2099,-1192.838385333585,0.09990997873922007
1,30,2038,-1108.5818436966713,0.09990997873922007
1,30,2025,-1862.8180347972416,0.09990997873922007
1,31,2100,-1123.5668654127428,0.09986422405161555
