generation,individual_id,seed_value,raw_reward,shared_fitness
1,0,2099,-1650.1025427565799,0.07002627372119637
1,0,2049,-1382.66863112117,0.07002627372119637
1,0,2094,-1333.249750797812,0.07002627372119637
1,0,2070,-1581.7820343439332,0.07002627372119637
1,0,2084,-1340.5894086499939,0.07002627372119637
1,1,2099,-1647.4373714771332,0.04487911820228996
1,1,2049,-1589.4130943769624,0.04487911820228996
1,1,2094,-1605.9079008930855,0.04487911820228996
1,1,2070,-1547.5880753427184,0.04487911820228996
1,1,2084,-1544.1098020641043,0.04487911820228996
1,2,2099,-1637.8596619738835,0.04463703920478065
1,2,2049,-1613.351689922217,0.04463703920478065
1,2,2094,-1570.589948740986,0.04463703920478065
1,2,2070,-1565.6099548013337,0.04463703920478065
1,2,2084,-1554.3581038837574,0.04463703920478065
1,3,2099,-1639.0796417373588,0.06423481500151498
1,3,2049,-1359.259702030948,0.06423481500151498
1,3,2094,-1329.2673424918062,0.06423481500151498
1,3,2070,-1583.8872583864777,0.06423481500151498
1,3,2084,-1531.0390309489965,0.06423481500151498
1,4,2099,-1638.1280118793175,0.056280842349911236
1,4,2049,-1569.6060387099942,0.056280842349911236
1,4,2094,-1507.4483472815884,0.056280842349911236
1,4,2070,-1420.4951256951842,0.056280842349911236
1,4,2084,-1523.9416292567341,0.056280842349911236
1,5,2099,-1637.7138307028258,0.03762671022831173
1,5,2049,-1666.0631385997046,0.03762671022831173
1,5,2094,-1570.0008126893135,0.03762671022831173
1,5,2070,-1637.568591182092,0.03762671022831173
1,5,2084,-1612.3369676391505,0.03762671022831173
1,6,2099,-1621.954568211288,0.04102403694156485
1,6,2049,-1643.2664337578597,0.04102403694156485
1,6,2094,-1588.443839560282,0.04102403694156485
1,6,2070,-1607.6778341440995,0.04102403694156485
1,6,2084,-1584.2223690623305,0.04102403694156485
1,7,2099,-1634.547710191915,0.049620690185044516
1,7,2049,-1576.1601773917073,0.049620690185044516
1,7,2094,-1553.5871159268402,0.049620690185044516
1,7,2070,-1538.3517541738076,0.049620690185044516
1,7,2084,-1524.216037046719,0.049620690185044516
1,8,2099,-1627.214321641259,0.05898993106151379
1,8,2049,-1428.284197350506,0.05898993106151379
1,8,2094,-1428.0084639530428,0.05898993106151379
1,8,2070,-1565.765345562039,0.05898993106151379
1,8,2084,-1531.6275655077254,0.05898993106151379
1,9,2099,-1634.2955494983678,0.04057469584546804
1,9,2049,-1647.7693474405837,0.04057469584546804
1,9,2094,-1568.3128938593215,0.04057469584546804
1,9,2070,-1613.5344182546955,0.04057469584546804
1,9,2084,-1591.4846435839363,0.04057469584546804
1,10,2099,-1648.617862501575,0.05205460572014185
1,10,2049,-1565.8056634136944,0.05205460572014185
1,10,2094,-1455.6839195611235,0.05205460572014185
1,10,2070,-1552.384923129285,0.05205460572014185
1,10,2084,-1524.675461183942,0.05205460572014185
1,11,2099,-1642.709248445716,0.05452653308268257
1,11,2049,-1530.2421999313624,0.05452653308268257
1,11,2094,-1575.252062652161,0.05452653308268257
1,11,2070,-1569.3744627897343,0.05452653308268257
1,11,2084,-1353.540862596086,0.05452653308268257
1,12,2099,-1639.7031869390548,0.052181148310990175
1,12,2049,-1556.3411877617662,0.052181148310990175
1,12,2094,-1480.8713763264163,0.052181148310990175
1,12,2070,-1554.3712493239807,0.052181148310990175
1,12,2084,-1497.3328729267844,0.052181148310990175
1,13,2099,-1634.6477344605662,0.04362033977508081
1,13,2049,-1613.1300513964916,0.04362033977508081
1,13,2094,-1596.3825674552404,0.04362033977508081
1,13,2070,-1573.0903448677543,0.04362033977508081
1,13,2084,-1558.5902117618725,0.04362033977508081
1,14,2099,-1647.556817203391,0.051846190806662154
1,14,2049,-1524.8617154718809,0.051846190806662154
1,14,2094,-1573.9473361199712,0.051846190806662154
1,14,2070,-1580.238387583874,0.051846190806662154
1,14,2084,-1413.7351263768724,0.051846190806662154
1,15,2099,-1645.3448853205548,0.05317805907477496
1,15,2049,-1493.2203338375548,0.05317805907477496
1,15,2094,-1583.0230815904947,0.05317805907477496
1,15,2070,-1581.6108109645834,0.05317805907477496
1,15,2084,-1404.8846445284764,0.05317805907477496
1,16,2099,-1635.2540885024496,0.04099053081600028
1,16,2049,-1643.4862898581268,0.04099053081600028
1,16,2094,-1572.18489016268,0.04099053081600028
1,16,2070,-1603.0625083746402,0.04099053081600028
1,16,2084,-1586.7141874345696,0.04099053081600028
1,17,2099,-1644.0077550563885,0.04178506052033226
1,17,2049,-1624.2641100611813,0.04178506052033226
1,17,2094,-1599.2142835366758,0.04178506052033226
1,17,2070,-1578.7407503572938,0.04178506052033226
1,17,2084,-1571.8757296529852,0.04178506052033226
1,18,2099,-1651.781660451808,0.052772505382559974
1,18,2049,-1564.7122076888481,0.052772505382559974
1,18,2094,-1439.8063075313264,0.052772505382559974
1,18,2070,-1536.9249220966617,0.052772505382559974
1,18,2084,-1517.399573893373,0.052772505382559974
1,19,2099,-1640.9988925326518,0.05112454191380502
1,19,2049,-1528.1373106746432,0.05112454191380502
1,19,2094,-1587.3795094085299,0.05112454191380502
1,19,2070,-1572.5326186998714,0.05112454191380502
1,19,2084,-1432.2520869883847,0.05112454191380502
1,20,2099,-1629.4430462870218,0.06549248307748894
1,20,2049,-1377.5430959671648,0.06549248307748894
1,20,2094,-1322.7493808363065,0.06549248307748894
1,20,2070,-1571.8031169181613,0.06549248307748894
1,20,2084,-1522.8895031220736,0.06549248307748894
1,21,2099,-1648.9236975111837,0.04672246973207608
1,21,2049,-1572.847938448461,0.04672246973207608
1,21,2094,-1561.6158743653912,0.04672246973207608
1,21,2070,-1563.3625631586112,0.04672246973207608
1,21,2084,-1525.4296414732667,0.04672246973207608
1,22,2099,-1639.8490514102841,0.039505519577820704
1,22,2049,-1650.5060518298696,0.039505519577820704
1,22,2094,-1580.8703317219747,0.039505519577820704
1,22,2070,-1618.6406206373792,0.039505519577820704
1,22,2084,-1590.0547988029634,0.039505519577820704
1,23,2099,-1627.2316805484074,0.054341215999491835
1,23,2049,-1582.8970584692304,0.054341215999491835
1,23,2094,-1477.2843083747935,0.054341215999491835
1,23,2070,-1493.8556008987211,0.054341215999491835
1,23,2084,-1526.6186410868613,0.054341215999491835
1,24,2099,-1651.4449691123295,0.05714967770191626
1,24,2049,-1461.4954558580378,0.05714967770191626
1,24,2094,-1518.93271349063,0.05714967770191626
1,24,2070,-1590.15642336353,0.05714967770191626
1,24,2084,-1381.3113120738476,0.05714967770191626
1,25,2099,-1617.3131424659755,0.059385911135475096
1,25,2049,-1537.7391606121273,0.059385911135475096
1,25,2094,-1539.5897147080177,0.059385911135475096
1,25,2070,-1472.480458927147,0.059385911135475096
1,25,2084,-1419.2415415845912,0.059385911135475096
1,26,2099,-1648.4261556823806,0.04777357724644087
1,26,2049,-1563.5649026174353,0.04777357724644087
1,26,2094,-1505.1589682460394,0.04777357724644087
1,26,2070,-1573.2177509519097,0.04777357724644087
1,26,2084,-1538.8182619174318,0.04777357724644087
1,27,2099,-1643.756559857258,0.05148255818804287
1,27,2049,-1571.6996285553307,0.05148255818804287
1,27,2094,-1584.2133837208225,0.05148255818804287
1,27,2070,-1449.0537729205814,0.05148255818804287
1,27,2084,-1528.504116289137,0.05148255818804287
1,28,2099,-1636.1679901839366,0.05118458440833057
1,28,2049,-1585.9526671922683,0.05118458440833057
