generation,best_avg_reward,avg_top_reward,worst_avg_reward
122,-635.0331571309401,-385.9923206431373,-1213.2443774032731
123,-529.5924198692658,-416.8499795757323,-793.1046322089154
124,-544.9441965771405,-463.5255296127536,-1149.3070884534377
125,-537.8785698940783,-436.674444166011,-723.0664268164712
126,-542.4459579834771,-445.5484875152135,-742.6446600825093
127,-450.51368442543253,-566.0863820728041,-1212.1980820008132
128,-487.00245476394474,-390.0676614422253,-733.5997890851727
129,-539.2497459841707,-423.9014212686604,-959.7937998028701
130,-132.53048128628217,-410.07323624154145,-822.6203339785976
131,-97.58074190220978,-369.95074063501767,-794.8063098551991
132,-94.50175247578098,-360.6508070358762,-913.1440091475372
133,-154.75227122788894,-430.71470187360916,-1098.1544225677285
134,-113.02970166621517,-338.035246876228,-757.4782171996355
135,-92.36540415240685,-386.29901607900985,-904.3540559620711
136,-238.04660258535654,-410.31062058609655,-749.6402181068004
137,-84.71542966471667,-334.63207260433245,-952.053601330146
138,-155.0714878273405,-348.4866760544641,-1149.2369084647044
139,-207.55785729935843,-345.22967903569213,-876.1469365538476
140,-116.81860043334635,-348.37515279708373,-830.7699276637834
141,-106.18595812265683,-364.2890063671287,-809.9279741022954
142,-85.3838479873449,-389.98332485966955,-726.173158708633
143,-119.59721735667058,-385.97033929643635,-668.1906141574311
144,-70.04724770162792,-392.4545331710706,-1083.6087097744155
145,-41.52434877832344,-439.316676339037,-1130.0861387130012
146,-74.32281783751503,-416.29969298606756,-945.1638103476453
147,-28.707094392318275,-362.81684049183133,-753.2448250792178
148,7.3682124947511,-374.56721236805885,-847.4115512778146
149,-14.189435982855935,-405.9223567279906,-877.2833463628692
150,-104.59417335340825,-422.26866849182426,-883.9952668812854
151,-38.20356661428942,-347.5442071048748,-1431.1882871447729
152,-10.322574310613078,-383.5391642312554,-784.8637852718996
153,-121.47638579609676,-410.48945542013075,-1654.5057800707655
154,-67.8001893474746,-347.1405412738732,-879.6284093367198
155,-99.60973990777656,-415.94076190124474,-941.1662586757104
156,-104.03257999803009,-366.1196842980702,-851.9508420691661
157,-23.167603363751823,-370.2261998889868,-855.9911066977902
158,-68.44158323393097,-409.54626511389523,-709.9589116339795
159,5.505784165579715,-428.17424296654127,-1034.664018932452
160,-95.74748039770188,-414.1162677757982,-1351.1848995454252
161,-59.558782300849884,-410.09833725202407,-956.5182373886598
162,-23.877684577952,-400.0447773091729,-715.5378581656371
163,-29.192543420778044,-325.85091741967483,-682.7439818192256
164,-41.46074108720042,-349.02488611505845,-925.6718320794537
165,-130.4580188935683,-358.20549722504376,-1908.0568451742183
166,-137.08275018346433,-392.63689437838997,-1002.809438125991
167,-130.73662855137053,-422.2061599871915,-1107.9967142705161
168,-313.70771196397726,-449.7113165683067,-1095.031872545282
169,-99.303571558528,-381.85751728896224,-1147.5006451616848
170,-149.5581408276384,-382.8218556478132,-858.7440394792617
171,-136.37502393976257,-347.6101749572714,-739.2738540715114
172,-140.85766587588768,-395.50310901462666,-829.1453707169269
173,-135.06051585979077,-390.5455900152517,-987.2054708597561
174,-129.95075595958514,-407.488425172175,-1222.3218394164821
175,-135.32005208744636,-385.9464168578612,-793.39960912145
176,-127.28483243036764,-427.22962494038916,-979.9414617833072
177,-132.44253772235348,-375.8788500846434,-748.2864976007356
178,-125.73915919632586,-354.81688478872417,-968.8496330479044
179,-428.757081485346,-391.5860005773239,-1136.4423361766726
180,-590.9994004354473,-433.1485576438094,-1505.1176817254614
181,-456.2195187898211,-349.60081092648386,-1107.2703941674324
182,-534.3157184207937,-400.69981426495826,-699.0192399963714
183,-456.9548746289344,-415.64620248073993,-903.9992808031678
184,-455.8190873435864,-372.3519680844293,-699.6802186959012
185,-451.75652079961293,-384.64756673745944,-976.7671837443213
186,-476.5972416741042,-389.9021367224741,-670.6576951621317
187,-465.3006582112245,-369.095490235428,-966.852198094786
188,-464.1458594075681,-356.03435709253534,-659.9179073106619
189,-466.2975826434866,-365.374001040087,-893.7068287651634
190,-404.4552760483467,-336.5185535677094,-807.2896882113251
191,-538.4359878744456,-378.54314472123417,-756.9765922334091
192,-539.304087751754,-349.67936381987664,-827.7986564426668
193,-204.49743050857603,-340.0947607116988,-969.1171140777303
194,-217.95612982131215,-414.66377874744865,-748.0317857577842
195,-302.7565448152521,-397.0823467958173,-1445.594101539315
196,-295.15781402440933,-399.5583141810021,-945.1821898227035
197,-318.2298158847345,-399.80059739135334,-1302.3070336988153
198,-262.42634997194085,-368.16398478663024,-1084.9514699853657
199,-252.1618057483942,-394.01937437250757,-1230.9823146315728
200,-252.5571502340046,-428.06306201650125,-1083.446768595905
