Timestamp_sec,CPU_Usage_Percent,GPU_Power_Watts
132.14,8.3,26.23
132.64,10.4,24.81
133.14,8.2,23.17
133.64,10.1,22.28
134.14,10.3,22.27
134.64,9.7,22.29
135.14,9.2,22.14
135.64,10.8,21.96
136.15,10.5,21.64
136.65,10.7,21.53
137.15,7.9,21.95
137.65,8.9,22.98
138.15,11.1,23.22
138.65,11.0,23.22
139.15,7.2,23.30
139.65,8.5,22.89
140.15,9.4,23.08
140.65,9.0,23.11
141.15,10.2,22.74
141.65,10.3,22.49
142.15,9.9,22.93
142.65,9.0,22.60
143.15,8.6,21.71
143.65,10.3,21.91
144.15,8.3,22.23
144.65,8.3,21.80
145.15,10.2,22.34
145.65,7.7,22.27
146.16,9.6,22.47
146.66,8.7,23.17
147.16,8.2,22.86
147.66,9.9,22.92
148.16,8.7,23.14
148.66,11.9,22.48
149.16,9.1,21.95
149.66,8.7,21.40
150.16,11.6,21.88
150.66,9.8,22.59
151.16,8.8,22.09
151.66,10.7,21.96
152.16,7.0,21.89
152.66,8.6,21.86
153.16,11.5,22.02
153.66,10.5,22.43
154.16,7.6,21.89
154.66,10.9,21.77
155.16,8.9,22.47
155.66,9.8,22.86
156.16,10.3,22.54
156.66,9.3,22.44
157.16,7.6,21.83
157.67,9.7,21.49
158.17,8.2,21.96
158.67,10.0,21.70
159.17,8.8,22.27
159.67,10.2,22.82
160.17,8.5,22.45
160.67,10.5,22.72
161.17,9.9,26.36
161.67,9.8,31.98
162.17,10.1,34.18
162.67,9.6,34.27
163.17,11.9,31.89
163.67,9.5,28.50
164.17,11.2,27.09
164.67,11.0,26.82
165.17,10.7,26.27
165.67,10.6,25.41
166.17,10.8,23.21
166.67,10.1,21.57
167.17,11.1,21.58
167.67,10.4,22.08
168.17,10.6,22.95
168.67,10.7,27.63
169.18,10.4,32.11
169.68,9.8,34.25
170.18,10.4,33.43
170.68,10.6,30.20
171.18,10.4,27.04
171.68,10.5,26.55
172.18,10.7,26.01
172.68,10.4,24.19
173.18,9.5,22.75
173.68,12.0,25.20
174.18,12.2,30.22
174.68,9.7,34.26
175.18,9.9,34.02
175.68,11.0,31.77
176.18,10.2,28.65
176.68,9.5,26.81
177.18,9.0,25.92
177.68,10.4,26.41
178.18,10.3,26.90
178.68,14.8,24.55
179.18,9.9,22.03
179.69,10.9,22.18
