Generation,Best_Reward,Avg_Reward,Std_Reward,Worst_Reward
1,-389.2,-497.716,15.509588775979848,-500.0
2,-358.0,-497.092,19.8759839001746,-500.0
3,-345.8,-496.848,21.58353298234559,-500.0
4,-355.4,-497.04,20.239881422577565,-500.0
5,-323.6,-496.404,24.690872483571738,-500.0
6,-314.2,-496.216,26.006640382794558,-500.0
7,-340.4,-496.74,22.33935540699418,-500.0
8,-311.0,-494.68799999999993,28.17088312424728,-500.0
9,-329.2,-494.59600000000006,27.1808900516521,-500.0
10,-331.6,-493.88800000000003,29.800917032869975,-500.0
11,-307.2,-490.26399999999995,37.67911761174882,-500.0
12,-272.6,-488.608,40.40340500502401,-500.0
13,-313.4,-484.1240000000001,42.68237837796765,-500.0
14,-339.8,-482.86,42.41115419320724,-500.0
15,-313.6,-480.276,46.86806827681295,-500.0
16,-339.8,-478.42,47.77385477434284,-500.0
17,-302.8,-475.8040000000001,55.491123470335324,-500.0
18,-292.2,-471.56800000000004,57.26194352272721,-500.0
19,-268.6,-458.384,75.94651633880252,-500.0
20,-240.0,-460.34,79.44846128151256,-500.0
21,-266.2,-455.17600000000004,80.89452530301418,-500.0
22,-252.6,-444.092,88.5208333444732,-500.0
23,-234.2,-430.07200000000006,95.79294971969492,-500.0
24,-236.8,-436.264,97.09041921837603,-500.0
25,-248.2,-447.936,86.67252796590162,-500.0
26,-242.0,-450.80400000000003,87.13739486580947,-500.0
27,-239.6,-449.7,91.16634686110879,-500.0
28,-219.8,-453.408,89.34731297582485,-500.0
29,-238.0,-445.876,92.51434388244886,-500.0
30,-227.6,-444.48800000000006,93.10803325170177,-500.0
31,-211.2,-449.12800000000004,88.23890080911026,-500.0
32,-206.6,-437.04,101.58989713549275,-500.0
33,-196.0,-433.69199999999995,102.02788803067523,-500.0
34,-186.0,-440.088,103.4005505594627,-500.0
35,-198.0,-434.624,107.08126738136788,-500.0
36,-196.8,-437.80400000000003,103.54766624120508,-500.0
37,-212.4,-440.208,105.46159839486599,-500.0
38,-192.2,-436.416,99.51116391641693,-500.0
39,-211.4,-421.212,109.61884808736133,-500.0
40,-207.2,-435.64,103.92156272881967,-500.0
41,-211.4,-433.908,107.32779107016039,-500.0
42,-185.0,-426.42800000000005,111.865676666259,-500.0
43,-175.6,-415.05199999999996,119.69406207494171,-500.0
44,-172.2,-409.176,129.5128635464447,-500.0
45,-190.4,-431.024,119.76502754978183,-500.0
46,-184.0,-408.8,121.86820422078927,-500.0
47,-180.0,-406.98800000000006,131.39957631590752,-500.0
48,-170.8,-414.36400000000003,127.8357739601869,-500.0
49,-162.4,-401.704,138.2957887428247,-500.0
50,-148.4,-374.51199999999994,143.20751466316287,-500.0
51,-151.0,-395.73199999999997,135.6660406144441,-500.0
52,-160.4,-378.77200000000005,135.14196985392806,-500.0
53,-171.0,-417.67600000000004,122.69881101298414,-500.0
54,-173.2,-406.88800000000003,134.1178715011538,-500.0
55,-159.2,-378.412,141.47067207022099,-500.0
56,-156.4,-413.14,134.22482780767498,-500.0
57,-164.4,-385.14399999999995,140.62804295018827,-500.0
58,-156.4,-355.98799999999994,146.08150278526026,-500.0
59,-157.4,-381.712,144.528370419098,-500.0
60,-157.4,-374.216,145.29726681531213,-500.0
61,-156.6,-377.04,145.59803295374564,-500.0
62,-161.4,-372.144,151.32972762811673,-500.0
63,-173.0,-367.49600000000004,147.5674502863013,-500.0
64,-154.0,-370.36400000000003,148.97044909645672,-500.0
65,-137.6,-365.36,151.34397378158138,-500.0
66,-140.4,-402.56800000000004,141.6962743899782,-500.0
67,-139.6,-389.02,133.62901032335753,-500.0
68,-125.6,-383.75199999999995,144.04952792702932,-500.0
69,-141.6,-388.032,139.05647980586883,-500.0
70,-126.8,-353.38,137.8982653988077,-500.0
71,-151.6,-390.764,137.8852954596682,-500.0
72,-130.4,-368.98800000000006,136.48455097922255,-500.0
73,-127.6,-367.156,143.4413736130549,-500.0
74,-125.6,-353.436,142.2349250500734,-500.0
75,-132.2,-372.704,152.03774920722816,-500.0
76,-129.0,-372.1,147.65247441204633,-500.0
77,-111.6,-346.7,155.5435951751148,-500.0
78,-107.8,-369.9559999999999,154.9368918753697,-500.0
79,-105.8,-331.82,164.11978674127016,-500.0
80,-117.8,-310.63199999999995,159.52897346877148,-500.0
81,-108.8,-309.508,163.219436146557,-500.0
82,-99.8,-301.228,169.24345073296044,-500.0
83,-92.8,-307.66,169.0092553678644,-500.0
84,-91.0,-264.424,168.90829057213267,-500.0
85,-96.6,-271.92400000000004,159.62586702661946,-500.0
86,-86.6,-281.872,169.5873757565698,-500.0
87,-97.4,-258.6,148.47371215134348,-500.0
88,-86.8,-234.99200000000002,153.3988993963125,-500.0
89,-88.0,-245.65600000000003,161.57542902310362,-500.0
90,-82.8,-267.416,171.39272255262182,-500.0
91,-85.6,-212.69199999999992,159.9001048655066,-500.0
92,-86.0,-187.84799999999998,140.62764200540377,-500.0
93,-80.8,-215.812,141.09699024429966,-500.0
94,-81.4,-263.676,177.79557200335447,-500.0
95,-89.4,-287.56399999999996,182.89962576232898,-500.0
96,-85.6,-254.48,164.16733414415916,-500.0
97,-90.2,-276.908,169.3862530903851,-500.0
98,-93.2,-279.54,172.2663112741432,-500.0
99,-88.0,-289.12,176.01740368497656,-500.0
100,-87.8,-275.608,170.7913016988863,-500.0
