(neat) PS D:\Git\ga_combine\source_code\multi_ga_pendulum_smoo> python ga_pendulum.py --population 50 --generations 100 --subset-k 5 --seed-refresh-rate 0.4
Starting Batch Experiment with seeds: [101, 102, 103, 104, 105]

##################################################
STARTING RUN WITH GLOBAL SEED: 101
##################################################

Global Seed set to: 101
Initial subset: [2099, 2049, 2094, 2070, 2084] (Max Age: 10)
Training Started. Logs: runs_pendulum/ga_1774047806_seed101
   Detailed logs: runs_pendulum/ga_1774047806_seed101/detailed_history.csv
   Checkpoints:   runs_pendulum/ga_1774047806_seed101/checkpoints/
Gen 74 | Fit: 0.17 | MaxRaw: -578.6 | Avg: -886.9
Gen 75 | Fit: 0.15 | MaxRaw: -593.1 | Avg: -905.5
Gen 76 | Fit: 0.14 | MaxRaw: -795.4 | Avg: -1036.3
Gen 77 | Fit: 0.15 | MaxRaw: -655.3 | Avg: -957.0
Gen 78 | Fit: 0.16 | MaxRaw: -719.7 | Avg: -1054.8
Gen 79 | Fit: 0.15 | MaxRaw: -746.9 | Avg: -1044.6
Gen 80 | Fit: 0.15 | MaxRaw: -667.1 | Avg: -950.6
Gen 81 | Fit: 0.17 | MaxRaw: -577.2 | Avg: -937.5
Gen 82 | Fit: 0.14 | MaxRaw: -881.8 | Avg: -1140.7
Gen 83 | Fit: 0.19 | MaxRaw: -602.8 | Avg: -1016.0
Gen 84 | Fit: 0.18 | MaxRaw: -705.1 | Avg: -1011.1
Gen 85 | Fit: 0.18 | MaxRaw: -575.8 | Avg: -966.9
Gen 86 | Fit: 0.15 | MaxRaw: -854.7 | Avg: -1114.7
Gen 87 | Fit: 0.18 | MaxRaw: -630.4 | Avg: -1027.4
Gen 88 | Fit: 0.21 | MaxRaw: -611.0 | Avg: -1000.2
Gen 89 | Fit: 0.17 | MaxRaw: -630.6 | Avg: -941.4
Gen 90 | Fit: 0.17 | MaxRaw: -581.5 | Avg: -987.6
Gen 91 | Fit: 0.17 | MaxRaw: -607.6 | Avg: -969.4
Gen 92 | Fit: 0.14 | MaxRaw: -778.7 | Avg: -1022.6
Gen 93 | Fit: 0.14 | MaxRaw: -847.3 | Avg: -1138.1
Gen 94 | Fit: 0.17 | MaxRaw: -668.3 | Avg: -1013.1
Gen 95 | Fit: 0.17 | MaxRaw: -712.7 | Avg: -1052.8
Gen 96 | Fit: 0.15 | MaxRaw: -759.4 | Avg: -1085.8
Gen 97 | Fit: 0.16 | MaxRaw: -731.2 | Avg: -1026.7
Gen 98 | Fit: 0.17 | MaxRaw: -664.5 | Avg: -1001.1
Gen 99 | Fit: 0.16 | MaxRaw: -618.0 | Avg: -957.8
Gen 100 | Fit: 0.17 | MaxRaw: -727.6 | Avg: -991.0

Final Robustness Check (All 100 Seeds)...
100%|████████████████████████████████████████████████████████████████████████████| 5000/5000 [5:34:53<00:00,  4.02s/it]
Best Agent Score: -815.22
Finish. Results in runs_pendulum/ga_1774047806_seed101

##################################################
STARTING RUN WITH GLOBAL SEED: 102
##################################################

Global Seed set to: 102
Initial subset: [2043, 2111, 2103, 2070, 2046] (Max Age: 10)
Training Started. Logs: runs_pendulum/ga_1774168889_seed102
   Detailed logs: runs_pendulum/ga_1774168889_seed102/detailed_history.csv
   Checkpoints:   runs_pendulum/ga_1774168889_seed102/checkpoints/
Gen 1 | Fit: 0.15 | MaxRaw: -1195.8 | Avg: -1286.3
Gen 2 | Fit: 0.13 | MaxRaw: -890.2 | Avg: -1007.8
Gen 3 | Fit: 0.14 | MaxRaw: -906.4 | Avg: -1113.4
Gen 4 | Fit: 0.14 | MaxRaw: -880.6 | Avg: -1039.5
Gen 5 | Fit: 0.14 | MaxRaw: -829.6 | Avg: -958.0
Gen 6 | Fit: 0.13 | MaxRaw: -1041.8 | Avg: -1189.7
Gen 7 | Fit: 0.16 | MaxRaw: -807.0 | Avg: -1059.7
Gen 8 | Fit: 0.17 | MaxRaw: -817.3 | Avg: -1065.4
Gen 9 | Fit: 0.17 | MaxRaw: -796.2 | Avg: -1030.2
Gen 10 | Fit: 0.14 | MaxRaw: -1014.4 | Avg: -1212.7
Gen 11 | Fit: 0.15 | MaxRaw: -799.4 | Avg: -1028.2
Gen 12 | Fit: 0.13 | MaxRaw: -943.4 | Avg: -1077.7
Gen 13 | Fit: 0.16 | MaxRaw: -859.3 | Avg: -1073.9
Gen 14 | Fit: 0.14 | MaxRaw: -853.3 | Avg: -1111.4
Gen 15 | Fit: 0.14 | MaxRaw: -882.9 | Avg: -1072.7
Gen 16 | Fit: 0.17 | MaxRaw: -690.0 | Avg: -976.5
Gen 17 | Fit: 0.14 | MaxRaw: -1043.0 | Avg: -1249.5
Gen 18 | Fit: 0.16 | MaxRaw: -778.2 | Avg: -1092.2
Gen 19 | Fit: 0.13 | MaxRaw: -808.7 | Avg: -1057.5
Gen 20 | Fit: 0.15 | MaxRaw: -710.4 | Avg: -964.3
Gen 21 | Fit: 0.17 | MaxRaw: -590.3 | Avg: -922.2
Gen 22 | Fit: 0.13 | MaxRaw: -1027.2 | Avg: -1190.2
Gen 23 | Fit: 0.15 | MaxRaw: -898.4 | Avg: -1077.6
Gen 24 | Fit: 0.18 | MaxRaw: -732.8 | Avg: -944.0
Gen 25 | Fit: 0.13 | MaxRaw: -799.5 | Avg: -1103.9
Gen 26 | Fit: 0.17 | MaxRaw: -756.0 | Avg: -1039.3
Gen 27 | Fit: 0.18 | MaxRaw: -566.3 | Avg: -919.7
Gen 28 | Fit: 0.15 | MaxRaw: -742.5 | Avg: -995.3
Gen 29 | Fit: 0.13 | MaxRaw: -778.8 | Avg: -1014.9
Gen 30 | Fit: 0.17 | MaxRaw: -578.6 | Avg: -911.0
Gen 31 | Fit: 0.16 | MaxRaw: -604.2 | Avg: -908.7
Gen 32 | Fit: 0.16 | MaxRaw: -766.8 | Avg: -1038.0
Gen 33 | Fit: 0.14 | MaxRaw: -769.2 | Avg: -1031.3
Gen 34 | Fit: 0.13 | MaxRaw: -889.5 | Avg: -1114.9
Gen 35 | Fit: 0.14 | MaxRaw: -859.4 | Avg: -1065.9
Gen 36 | Fit: 0.14 | MaxRaw: -807.0 | Avg: -1020.8
Gen 37 | Fit: 0.14 | MaxRaw: -855.2 | Avg: -1084.5
Gen 38 | Fit: 0.16 | MaxRaw: -626.7 | Avg: -911.0
Gen 39 | Fit: 0.15 | MaxRaw: -722.8 | Avg: -966.4
Gen 40 | Fit: 0.17 | MaxRaw: -649.7 | Avg: -916.5
Gen 41 | Fit: 0.14 | MaxRaw: -831.6 | Avg: -1026.7
Gen 42 | Fit: 0.16 | MaxRaw: -629.1 | Avg: -905.6
Gen 43 | Fit: 0.13 | MaxRaw: -824.1 | Avg: -1033.8
Gen 44 | Fit: 0.17 | MaxRaw: -649.9 | Avg: -940.1
Gen 45 | Fit: 0.13 | MaxRaw: -792.8 | Avg: -1011.9
Gen 46 | Fit: 0.13 | MaxRaw: -849.7 | Avg: -1067.3
Gen 47 | Fit: 0.15 | MaxRaw: -706.5 | Avg: -945.6
Gen 48 | Fit: 0.17 | MaxRaw: -624.6 | Avg: -948.8
Gen 49 | Fit: 0.16 | MaxRaw: -733.5 | Avg: -943.2
Gen 50 | Fit: 0.15 | MaxRaw: -719.7 | Avg: -954.2
Gen 51 | Fit: 0.15 | MaxRaw: -935.8 | Avg: -1141.1
Gen 52 | Fit: 0.18 | MaxRaw: -705.6 | Avg: -996.8
Gen 53 | Fit: 0.14 | MaxRaw: -953.7 | Avg: -1144.6
Gen 54 | Fit: 0.15 | MaxRaw: -731.5 | Avg: -982.3
Gen 55 | Fit: 0.15 | MaxRaw: -728.3 | Avg: -1007.4
