generation,best_fitness_score,global_max_raw_reward,global_avg_raw_reward,selected_individual_reward
1,2.574755661723202,-243.2,-490.112,-243.2
2,2.499313404308587,-186.6,-484.34,-186.6
3,1.9393388036516102,-185.0,-461.5959999999999,-200.2
4,1.5633257291286364,-148.2,-428.02,-200.2
5,1.304070345968639,-137.0,-411.9359999999999,-256.2
6,0.8653171401315859,-139.2,-418.852,-191.6
7,0.49103524924123654,-176.6,-413.712,-199.0
8,0.4005698994938731,-162.4,-407.92799999999994,-218.4
9,0.40591312180738925,-119.0,-406.44399999999996,-126.6
10,0.41886214795255755,-127.8,-413.18399999999997,-128.0
11,0.39163900697608867,-127.8,-410.856,-159.2
12,0.40071549551629976,-120.4,-404.084,-120.4
13,0.3933873243405286,-127.2,-394.272,-140.4
14,0.37972596361207733,-126.2,-400.164,-126.2
15,0.35841579990000527,-120.6,-399.672,-197.4
16,0.3519213432435165,-116.6,-389.832,-136.2
17,0.3422562996628528,-127.8,-392.936,-139.0
18,0.42585024421538187,-110.8,-409.38800000000003,-115.0
19,0.3724988698604638,-112.6,-377.3399999999999,-112.6
20,0.35170870659271164,-110.6,-378.52799999999996,-124.6
21,0.33064574649474865,-113.8,-351.68,-114.6
22,0.33234777909063873,-110.0,-385.532,-112.2
23,0.30501603399565985,-109.6,-370.11999999999995,-118.2
24,0.29145584278603487,-112.4,-341.084,-112.4
25,0.2790786410692303,-111.4,-354.69599999999997,-121.0
26,0.28817853542505406,-89.8,-356.82,-89.8
27,0.28848142592937875,-88.0,-357.152,-88.0
28,0.28768770885356254,-86.4,-354.552,-86.4
29,0.28512564277622815,-85.0,-349.08799999999997,-85.0
30,0.2708945493198392,-100.0,-312.704,-100.6
31,0.2600064087808299,-92.4,-332.68,-109.4
32,0.24862232957679953,-92.0,-323.58799999999997,-92.0
33,0.276781134939641,-92.6,-352.94399999999996,-96.6
34,0.23946956733113597,-94.4,-299.46,-99.4
35,0.24757520585226786,-88.8,-335.888,-96.0
36,0.23060679038954154,-85.6,-283.62,-85.8
37,0.2211095398383788,-86.2,-273.58,-86.2
38,0.20466541309958908,-93.4,-294.47999999999996,-96.8
39,0.20630935288868915,-87.0,-300.332,-87.0
40,0.22427503364754156,-88.6,-316.048,-88.6
41,0.21177371810686557,-89.8,-293.95200000000006,-89.8
42,0.2073377561692702,-96.6,-296.348,-96.8
43,0.20083239238363804,-91.6,-275.452,-95.2
44,0.19834626881259504,-88.2,-280.84,-88.2
45,0.1867954643329127,-82.8,-252.8,-91.0
46,0.18069303897545852,-83.0,-263.784,-92.8
47,0.191504785574166,-86.4,-289.964,-98.4
48,0.2036820255949206,-88.0,-297.68,-89.6
49,0.23418500911075965,-89.8,-325.092,-92.0
50,0.2192055965431722,-93.4,-301.31200000000007,-94.6
51,0.20826173677893736,-92.0,-284.676,-93.0
52,0.20069789420947642,-90.2,-262.124,-95.2
53,0.18874789431709102,-95.8,-227.024,-107.0
54,0.19813352355985273,-96.0,-295.544,-96.0
55,0.1875310659952027,-94.8,-271.00800000000004,-94.8
56,0.185326201424472,-85.2,-269.62800000000004,-85.2
57,0.19478075990443255,-92.6,-291.416,-95.6
58,0.19076351218212717,-90.8,-280.296,-95.0
59,0.19691352706098691,-87.2,-296.324,-100.2
60,0.18807586198878068,-93.0,-264.828,-96.0
61,0.18646939022586942,-88.8,-277.96,-100.2
62,0.18567404461461265,-91.8,-281.304,-94.4
63,0.18316429490365146,-84.8,-264.368,-90.8
64,0.2057511174112101,-85.8,-302.80800000000005,-96.8
65,0.18658999679951455,-84.8,-259.14,-97.6
66,0.1860186651259403,-86.8,-275.64799999999997,-86.8
67,0.22062126747429808,-88.4,-319.168,-103.6
68,0.18723928716903326,-93.4,-242.49599999999998,-95.6
69,0.20451170410171624,-93.8,-299.88,-93.8
70,0.19159736934374627,-91.6,-270.752,-91.6
71,0.17987767946638117,-97.2,-213.71599999999998,-104.6
72,0.16731326017351905,-93.6,-219.52,-93.6
73,0.18083337056453935,-91.4,-272.82,-92.0
74,0.19389387154307713,-91.6,-291.184,-99.0
75,0.18771872330593528,-88.6,-276.048,-88.6
76,0.1917741201851833,-85.6,-283.796,-85.6
77,0.20436025198541627,-91.2,-302.80400000000003,-102.2
78,0.21576859846234045,-97.6,-313.15200000000004,-97.6
79,0.1955479641022323,-91.8,-260.56,-91.8
80,0.2523361371389492,-93.2,-338.35600000000005,-93.2
81,0.22347161010657415,-93.8,-290.66,-93.8
82,0.2059968628098483,-94.0,-268.64000000000004,-105.6
83,0.1953845419761431,-89.4,-250.65600000000003,-92.6
84,0.21259988027117382,-88.6,-305.832,-89.0
85,0.18164131132711048,-88.0,-228.04,-90.4
86,0.20773904389915449,-87.4,-301.212,-87.4
87,0.19707811644282341,-88.4,-278.50800000000004,-88.4
88,0.1898540351981337,-92.6,-269.724,-96.8
89,0.1794118613037727,-89.2,-222.37199999999996,-89.2
90,0.1756010111624084,-91.4,-247.3,-95.0
91,0.16653818442761678,-87.4,-250.17199999999997,-91.4
92,0.1577412832086282,-86.6,-207.11599999999999,-89.6
93,0.15608382377030985,-85.2,-237.80000000000004,-92.6
94,0.15289942764911138,-87.4,-216.908,-87.4
95,0.18229664170319396,-89.6,-277.86,-96.0
96,0.17821062224863432,-89.6,-263.91200000000003,-89.6
97,0.16553563195218193,-84.8,-217.012,-103.0
98,0.1756010880124272,-90.0,-267.592,-92.4
99,0.16535332302603462,-91.4,-236.048,-94.6
100,0.1617048877452569,-91.2,-238.34399999999997,-93.6
