Timestamp_sec,CPU_Usage_Percent,GPU_Power_Watts
134.34,19.7,53.33
134.85,19.9,54.96
135.37,21.6,54.85
135.87,21.6,53.75
136.37,24.5,53.18
136.87,20.4,55.30
137.39,22.5,51.93
137.89,20.4,50.53
138.40,15.1,50.73
138.91,17.6,50.55
139.43,20.4,53.95
139.95,21.6,54.25
140.45,22.9,55.05
140.96,20.0,54.96
141.47,20.2,54.06
141.97,19.5,53.19
142.49,21.4,54.66
142.99,21.6,54.21
143.50,19.8,54.13
144.00,20.3,55.73
144.50,20.1,55.26
145.02,19.7,55.10
145.52,20.5,54.68
146.03,22.1,53.14
146.53,18.8,53.99
147.03,21.4,54.26
147.53,21.0,54.73
148.04,21.8,54.55
148.55,23.0,55.45
149.07,20.5,54.64
149.58,19.1,55.26
150.10,19.3,54.30
150.60,22.1,54.72
151.12,23.7,53.81
151.63,21.7,55.03
152.15,23.9,56.02
152.66,22.7,56.65
153.18,22.0,54.61
153.68,19.8,53.25
154.20,21.0,54.57
154.71,20.7,55.61
155.23,20.0,55.57
155.73,19.0,55.41
156.25,19.0,55.09
156.76,20.3,54.88
157.28,20.4,55.32
157.80,17.8,54.85
158.30,19.5,54.95
158.81,20.5,55.81
159.32,19.4,54.39
159.83,20.6,53.91
160.33,21.5,55.36
160.84,21.1,54.48
161.34,21.4,54.09
161.86,21.0,55.32
162.37,20.2,77.11
162.89,20.6,73.96
163.40,19.4,76.13
163.91,21.1,67.09
164.43,19.3,52.86
164.93,21.5,53.85
165.43,20.8,55.59
165.94,20.5,52.62
166.45,19.7,54.78
166.96,22.9,56.05
167.46,20.6,52.73
167.96,25.2,54.77
168.47,21.9,55.72
168.97,19.6,55.32
169.47,20.9,54.17
169.97,21.4,54.38
170.48,20.5,55.17
170.98,22.4,54.93
171.48,19.4,53.91
171.99,20.3,53.09
172.49,21.4,55.52
172.99,20.6,53.72
173.50,19.8,54.84
174.00,22.0,55.20
174.50,20.5,55.13
175.00,22.2,55.44
175.51,21.7,55.18
176.01,21.6,52.39
176.52,23.1,55.61
177.03,20.8,53.63
177.55,21.3,54.73
178.05,23.5,55.07
178.55,20.7,54.55
179.07,23.3,55.70
179.58,22.5,54.61
180.10,21.4,54.65
180.60,21.3,54.90
