Timestamp_sec,CPU_Usage_Percent,GPU_Power_Watts
134.87,13.0,54.55
135.38,12.5,54.98
135.89,14.5,55.40
136.39,13.5,54.55
136.89,12.0,54.19
137.41,12.1,54.33
137.91,11.5,55.20
138.43,11.8,55.50
138.93,12.7,54.41
139.43,15.5,53.64
139.95,15.7,53.42
140.45,12.4,51.97
140.97,14.6,76.36
141.48,14.8,78.75
142.00,17.8,79.99
142.50,15.3,79.18
143.00,14.5,78.55
143.52,12.4,78.87
144.02,13.7,53.15
144.52,11.9,52.96
145.02,12.1,54.01
145.54,14.1,53.75
146.04,14.7,53.47
146.54,18.5,50.67
147.06,14.2,52.49
147.56,11.3,51.58
148.06,12.5,51.51
148.57,13.9,53.31
149.07,12.6,52.74
149.58,13.1,55.01
150.08,15.6,76.50
150.60,12.8,76.27
151.12,14.7,78.26
151.63,13.1,54.15
152.15,12.4,54.16
152.65,15.5,54.15
153.16,11.7,52.51
153.66,11.6,53.80
154.18,13.0,54.65
154.68,11.7,53.05
155.19,12.9,55.08
155.70,12.4,54.59
156.20,17.5,54.55
156.72,12.2,54.08
157.22,10.8,54.62
157.74,12.0,54.27
158.24,12.6,54.91
158.75,12.3,54.32
159.27,12.2,52.15
159.79,14.9,52.04
160.30,12.1,54.02
160.81,14.0,53.24
161.31,14.0,54.23
161.82,11.8,54.58
162.33,13.6,54.58
162.85,13.1,54.70
163.36,13.5,53.55
163.88,12.9,55.63
164.39,13.7,54.44
164.91,13.1,54.30
165.41,13.4,53.94
165.93,14.5,52.11
166.44,14.0,53.67
166.96,14.3,53.19
167.47,12.9,76.06
167.98,12.3,76.18
168.48,13.4,75.94
168.98,15.1,72.43
169.49,13.1,55.49
170.00,12.4,54.78
170.52,12.9,54.65
171.03,12.1,53.07
171.55,14.1,53.47
172.06,13.3,53.99
172.57,12.6,53.38
173.08,12.7,54.41
173.59,12.0,52.60
174.09,12.4,52.60
174.59,13.9,54.09
175.10,12.5,54.19
175.61,12.8,52.72
176.13,13.7,52.80
176.64,13.0,53.06
177.15,12.8,54.52
177.65,13.1,55.23
178.16,13.6,54.09
178.66,12.8,54.60
179.17,12.6,54.76
179.69,12.8,53.17
180.21,13.1,54.17
180.71,13.9,55.14
