Generation,Best_Reward,Avg_Reward,Std_Reward,Worst_Reward
1,-500.0,-500.0,0.0,-500.0
2,-500.0,-500.0,0.0,-500.0
3,-500.0,-500.0,0.0,-500.0
4,-500.0,-500.0,0.0,-500.0
5,-481.8,-499.63599999999997,2.5479999999999983,-500.0
6,-481.8,-499.57599999999996,2.5739121974146646,-500.0
7,-481.8,-499.57599999999996,2.5739121974146646,-500.0
8,-201.2,-492.9,42.010327301748084,-500.0
9,-192.4,-489.44800000000004,47.71261569019246,-500.0
10,-237.6,-489.332,41.97326024983049,-500.0
11,-193.0,-481.088,52.76634018008071,-500.0
12,-206.2,-473.70000000000005,57.13679374973714,-500.0
13,-197.2,-456.992,75.08930107545282,-500.0
14,-158.6,-427.504,103.41569892429293,-500.0
15,-143.0,-410.32,109.74801683857434,-500.0
16,-135.4,-423.096,115.54757454832188,-500.0
17,-109.2,-395.44,138.94300414198622,-500.0
18,-129.8,-393.80799999999994,142.51827649813902,-500.0
19,-123.6,-373.48,156.0490743324035,-500.0
20,-121.8,-371.94399999999996,150.44871572732018,-500.0
21,-127.6,-381.2,155.282900539628,-500.0
22,-117.6,-360.04799999999994,168.59421370853747,-500.0
23,-114.0,-351.16399999999993,174.18052561638456,-500.0
24,-118.0,-400.32,152.78492072190895,-500.0
25,-125.4,-375.972,167.60199048937335,-500.0
26,-100.6,-330.41600000000005,174.04756058043444,-500.0
27,-106.6,-341.504,168.81818973084623,-500.0
28,-112.6,-354.464,162.30887315239426,-500.0
29,-101.0,-340.664,165.10880020156407,-500.0
30,-106.2,-326.332,172.4463631857744,-500.0
31,-97.6,-342.13199999999995,177.66059601386007,-500.0
32,-87.8,-322.26,180.49663597973233,-500.0
33,-97.6,-369.10400000000004,173.22632705221224,-500.0
34,-97.0,-355.476,169.9545392862456,-500.0
35,-95.2,-333.032,178.99346294208624,-500.0
36,-96.4,-344.18,174.0935622014783,-500.0
37,-93.6,-347.70799999999997,182.16800250318386,-500.0
38,-86.2,-322.57200000000006,176.36211842683227,-500.0
39,-95.8,-327.412,175.2467444947266,-500.0
40,-89.0,-338.2,176.13912228690137,-500.0
41,-95.6,-287.67199999999997,173.14867488952956,-500.0
42,-93.4,-374.86799999999994,173.17430114194195,-500.0
43,-95.0,-341.588,162.76919811807147,-500.0
44,-90.0,-335.55199999999996,177.62026713187885,-500.0
45,-98.2,-305.29600000000005,172.1162037229499,-500.0
46,-101.8,-315.528,170.54019003155824,-500.0
47,-87.4,-274.576,169.72672454271896,-500.0
48,-85.4,-317.188,172.55035397239845,-500.0
49,-91.6,-289.712,165.0961618451501,-500.0
50,-85.2,-282.384,173.72576016238926,-500.0
51,-85.6,-272.90799999999996,171.08490621910514,-500.0
52,-97.0,-322.75600000000003,174.7702550893601,-500.0
53,-94.0,-306.408,167.03871148928323,-500.0
54,-93.2,-294.15200000000004,177.72953186232164,-500.0
55,-93.6,-304.7,172.04348868818025,-500.0
56,-94.0,-314.67199999999997,175.19403533225668,-500.0
57,-94.2,-278.44,165.98691514694764,-500.0
58,-93.6,-305.81199999999995,178.35151991502624,-500.0
59,-95.2,-286.812,176.24510392064798,-500.0
60,-96.2,-303.37999999999994,169.72997967359802,-500.0
61,-96.6,-299.536,170.63958012137746,-500.0
62,-86.2,-348.29600000000005,167.5584112600737,-500.0
63,-90.2,-277.876,169.94932369385882,-500.0
64,-84.8,-269.50800000000004,177.61146904409074,-500.0
65,-88.0,-275.75600000000003,175.72829158675617,-500.0
66,-89.0,-296.444,178.49173556218227,-500.0
67,-88.8,-264.12399999999997,165.82644850565907,-500.0
68,-88.2,-277.16,171.712732201197,-500.0
69,-93.4,-322.064,176.28392298788907,-500.0
70,-95.2,-278.452,174.0757757299964,-500.0
71,-98.8,-302.572,174.3364701260181,-500.0
72,-94.2,-285.56399999999996,178.80030733754347,-500.0
73,-97.4,-358.98400000000004,182.7876662797575,-500.0
74,-93.6,-313.144,172.67888366560632,-500.0
75,-101.4,-294.74,171.61479306866292,-500.0
76,-92.8,-281.68,173.07343643667562,-500.0
77,-89.4,-251.13600000000002,165.6191604374325,-500.0
78,-92.2,-257.80800000000005,167.53564855277816,-500.0
79,-92.8,-284.736,172.54931093458472,-500.0
80,-77.0,-265.568,178.27823360130088,-500.0
81,-86.0,-316.26000000000005,175.44508998544245,-500.0
82,-84.6,-273.268,174.36390273218825,-500.0
83,-84.6,-265.62399999999997,178.95005175746667,-500.0
84,-87.4,-279.892,177.60950519609023,-500.0
85,-84.8,-223.016,165.32221067963013,-500.0
86,-87.6,-241.09599999999998,160.71085708190347,-500.0
87,-87.2,-228.93599999999998,158.7698834918008,-500.0
88,-82.6,-237.14,161.30238063959254,-500.0
89,-81.6,-217.296,159.8774042321178,-500.0
90,-85.4,-239.856,174.18096355227797,-500.0
91,-85.6,-243.044,172.0815448094304,-500.0
92,-79.4,-285.30400000000003,184.2400053842813,-500.0
93,-84.4,-254.40000000000003,174.55517408544497,-500.0
94,-87.4,-221.284,160.60373639489214,-500.0
95,-83.6,-242.176,163.5272094301129,-500.0
96,-86.6,-260.43199999999996,179.53698832274088,-500.0
97,-81.0,-307.04,193.45546257472284,-500.0
98,-92.2,-222.18,167.01777270697872,-500.0
99,-94.8,-289.584,188.79834253509748,-500.0
100,-91.6,-250.03599999999997,177.13575670654416,-500.0
1,-500.0,-500.0,0.0,-500.0
2,-500.0,-500.0,0.0,-500.0
3,-500.0,-500.0,0.0,-500.0
4,-500.0,-500.0,0.0,-500.0
5,-481.8,-499.63599999999997,2.5479999999999983,-500.0
6,-481.8,-499.57599999999996,2.5739121974146646,-500.0
7,-481.8,-499.57599999999996,2.5739121974146646,-500.0
