generation,individual_id,seed_value,reward,shared_fitness
1,0,2116,-1321.4679536562373,0.09334074287466759
1,0,2083,-1821.2980108486938,0.09334074287466759
1,0,2117,-1080.1346170339916,0.09334074287466759
1,0,2114,-1294.0773163435215,0.09334074287466759
1,0,2119,-1534.7804988743367,0.09334074287466759
1,1,2116,-1398.5091443182748,0.07710233595594741
1,1,2083,-1862.8511393962303,0.07710233595594741
1,1,2117,-1062.2547638992767,0.07710233595594741
1,1,2114,-1360.417712278129,0.07710233595594741
1,1,2119,-1491.1284893132765,0.07710233595594741
1,2,2116,-1287.970628389036,0.11421426572252985
1,2,2083,-1766.4699850555749,0.11421426572252985
1,2,2117,-1071.2724766405363,0.11421426572252985
1,2,2114,-1265.087107314195,0.11421426572252985
1,2,2119,-1540.2547483882472,0.11421426572252985
1,3,2116,-1278.719959563812,0.12204901683946288
1,3,2083,-1740.4733981856548,0.12204901683946288
1,3,2117,-1103.1070376002276,0.12204901683946288
1,3,2114,-1248.6635812192849,0.12204901683946288
1,3,2119,-1559.504491596268,0.12204901683946288
1,4,2116,-1294.1671097923986,0.10642403494472749
1,4,2083,-1785.878332709332,0.10642403494472749
1,4,2117,-1094.4273752899717,0.10642403494472749
1,4,2114,-1272.732537473029,0.10642403494472749
1,4,2119,-1541.4722022784374,0.10642403494472749
1,5,2116,-1347.197118896298,0.08459607588162275
1,5,2083,-1843.7974664974433,0.08459607588162275
1,5,2117,-1077.4932258441743,0.08459607588162275
1,5,2114,-1308.2564742324166,0.08459607588162275
1,5,2119,-1529.588843946652,0.08459607588162275
1,6,2116,-1315.8526306608796,0.09499414105495776
1,6,2083,-1818.219501757994,0.09499414105495776
1,6,2117,-1079.487808367688,0.09499414105495776
1,6,2114,-1289.3095955931708,0.09499414105495776
1,6,2119,-1531.1931738474043,0.09499414105495776
1,7,2116,-1309.598512307757,0.10062208375458256
1,7,2083,-1799.4906956764396,0.10062208375458256
1,7,2117,-1091.7373937992668,0.10062208375458256
1,7,2114,-1286.6585646569445,0.10062208375458256
1,7,2119,-1544.33202835226,0.10062208375458256
1,8,2116,-1292.5074414235103,0.10936290385202202
1,8,2083,-1768.218539460216,0.10936290385202202
1,8,2117,-1152.4891963825849,0.10936290385202202
1,8,2114,-1270.8185220709606,0.10936290385202202
1,8,2119,-1570.7476053627581,0.10936290385202202
1,9,2116,-1282.0732989477826,0.11960923296451749
1,9,2083,-1748.5797811763348,0.11960923296451749
1,9,2117,-1083.488143158017,0.11960923296451749
1,9,2114,-1253.7815369589223,0.11960923296451749
1,9,2119,-1557.2737416077691,0.11960923296451749
1,10,2116,-1282.3858799460913,0.11666015963316337
1,10,2083,-1760.7321206846868,0.11666015963316337
1,10,2117,-1073.4595546356347,0.11666015963316337
1,10,2114,-1255.3757431698286,0.11666015963316337
1,10,2119,-1540.2509411879998,0.11666015963316337
1,11,2116,-1296.9431522987525,0.10463337372256946
1,11,2083,-1794.6557081932413,0.10463337372256946
1,11,2117,-1069.909906298799,0.10463337372256946
1,11,2114,-1276.2705804859459,0.10463337372256946
1,11,2119,-1527.913748358184,0.10463337372256946
1,12,2116,-1291.7743722449945,0.11025019440707731
1,12,2083,-1777.2771347534044,0.11025019440707731
1,12,2117,-1073.5667331446666,0.11025019440707731
1,12,2114,-1267.5588952873004,0.11025019440707731
1,12,2119,-1540.001895255816,0.11025019440707731
1,13,2116,-1329.380914114175,0.09008778203866401
1,13,2083,-1830.7353886459239,0.09008778203866401
1,13,2117,-1082.6268149274842,0.09008778203866401
1,13,2114,-1296.7147740677722,0.09008778203866401
1,13,2119,-1527.8048915079578,0.09008778203866401
1,14,2116,-1305.515754859762,0.10077564149149537
1,14,2083,-1802.716339898788,0.10077564149149537
1,14,2117,-1077.85897825404,0.10077564149149537
1,14,2114,-1282.9420127246033,0.10077564149149537
1,14,2119,-1533.8557735531062,0.10077564149149537
1,15,2116,-1291.6482284795713,0.10406055236413757
1,15,2083,-1801.1768186885995,0.10406055236413757
1,15,2117,-1065.7082147657577,0.10406055236413757
1,15,2114,-1272.5874959262112,0.10406055236413757
1,15,2119,-1507.3584360548812,0.10406055236413757
1,16,2116,-1326.071363198675,0.08948008090159135
1,16,2083,-1836.1581418730525,0.08948008090159135
1,16,2117,-1069.865340647903,0.08948008090159135
1,16,2114,-1294.7775370032969,0.08948008090159135
1,16,2119,-1515.5213471077805,0.08948008090159135
1,17,2116,-1248.098071116297,0.13457110924635662
1,17,2083,-1716.9656185225713,0.13457110924635662
1,17,2117,-1065.5651174295099,0.13457110924635662
1,17,2114,-1183.5795815735767,0.13457110924635662
1,17,2119,-1556.7245630914153,0.13457110924635662
1,18,2116,-1315.3854373764584,0.09231630420637714
1,18,2083,-1830.443565633186,0.09231630420637714
1,18,2117,-1068.3068408333393,0.09231630420637714
1,18,2114,-1289.891481484909,0.09231630420637714
1,18,2119,-1510.77903598141,0.09231630420637714
1,19,2116,-1347.7429109574848,0.08184056796231101
1,19,2083,-1855.4209218942642,0.08184056796231101
1,19,2117,-1068.5889364325235,0.08184056796231101
1,19,2114,-1311.6493825676218,0.08184056796231101
1,19,2119,-1510.701385362152,0.08184056796231101
1,20,2116,-1295.0424391591123,0.1095983610561371
1,20,2083,-1774.8487137467275,0.1095983610561371
1,20,2117,-1093.7427947761032,0.1095983610561371
